Benchmark, Variant, Size, Density, Time
SpMV,Dense,4,0.5,58814
SpMV,Specialized,4,0.5,14954
SpMV,SparseRAJA,4,0.5,934079
SpMV,Dense,4,0.5,57697
SpMV,Specialized,4,0.5,14802
SpMV,SparseRAJA,4,0.5,935570
SpMV,Dense,4,0.5,58197
SpMV,Specialized,4,0.5,14743
SpMV,SparseRAJA,4,0.5,932915
SpMV,Dense,4,0.5,57737
SpMV,Specialized,4,0.5,14795
SpMV,SparseRAJA,4,0.5,932473
SpMV,Dense,4,0.5,58185
SpMV,Specialized,4,0.5,14710
SpMV,SparseRAJA,4,0.5,934973
SpMV,Dense,4,0.1,57894
SpMV,Specialized,4,0.1,4283
SpMV,SparseRAJA,4,0.1,688659
SpMV,Dense,4,0.1,57718
SpMV,Specialized,4,0.1,4212
SpMV,SparseRAJA,4,0.1,688680
SpMV,Dense,4,0.1,57838
SpMV,Specialized,4,0.1,4254
SpMV,SparseRAJA,4,0.1,687290
SpMV,Dense,4,0.1,58208
SpMV,Specialized,4,0.1,4234
SpMV,SparseRAJA,4,0.1,687130
SpMV,Dense,4,0.1,57615
SpMV,Specialized,4,0.1,4208
SpMV,SparseRAJA,4,0.1,687452
SpMV,Dense,4,0.01,57975
SpMV,Specialized,4,0.01,2342
SpMV,SparseRAJA,4,0.01,443376
SpMV,Dense,4,0.01,58078
SpMV,Specialized,4,0.01,2465
SpMV,SparseRAJA,4,0.01,442624
SpMV,Dense,4,0.01,58039
SpMV,Specialized,4,0.01,2461
SpMV,SparseRAJA,4,0.01,444257
SpMV,Dense,4,0.01,57611
SpMV,Specialized,4,0.01,2232
SpMV,SparseRAJA,4,0.01,443407
SpMV,Dense,4,0.01,57902
SpMV,Specialized,4,0.01,2359
SpMV,SparseRAJA,4,0.01,443011
SpMV,Dense,6,0.5,836807
SpMV,Specialized,6,0.5,200314
SpMV,SparseRAJA,6,0.5,114628352
SpMV,Dense,6,0.5,832404
SpMV,Specialized,6,0.5,201111
SpMV,SparseRAJA,6,0.5,114654896
SpMV,Dense,6,0.5,833317
SpMV,Specialized,6,0.5,199810
SpMV,SparseRAJA,6,0.5,114672575
SpMV,Dense,6,0.5,834270
SpMV,Specialized,6,0.5,200535
SpMV,SparseRAJA,6,0.5,114634157
SpMV,Dense,6,0.5,833224
SpMV,Specialized,6,0.5,200662
SpMV,SparseRAJA,6,0.5,114643881
SpMV,Dense,6,0.1,833032
SpMV,Specialized,6,0.1,41475
SpMV,SparseRAJA,6,0.1,50135326
SpMV,Dense,6,0.1,832120
SpMV,Specialized,6,0.1,41346
SpMV,SparseRAJA,6,0.1,50138538
SpMV,Dense,6,0.1,832789
SpMV,Specialized,6,0.1,41098
SpMV,SparseRAJA,6,0.1,50111799
SpMV,Dense,6,0.1,831940
SpMV,Specialized,6,0.1,41248
SpMV,SparseRAJA,6,0.1,50120506
SpMV,Dense,6,0.1,833950
SpMV,Specialized,6,0.1,41209
SpMV,SparseRAJA,6,0.1,50143290
SpMV,Dense,6,0.01,833392
SpMV,Specialized,6,0.01,6324
SpMV,SparseRAJA,6,0.01,11770528
SpMV,Dense,6,0.01,832551
SpMV,Specialized,6,0.01,5983
SpMV,SparseRAJA,6,0.01,11773678
SpMV,Dense,6,0.01,832238
SpMV,Specialized,6,0.01,5953
SpMV,SparseRAJA,6,0.01,11769272
SpMV,Dense,6,0.01,833727
SpMV,Specialized,6,0.01,6158
SpMV,SparseRAJA,6,0.01,11815788
SpMV,Dense,6,0.01,831290
SpMV,Specialized,6,0.01,6157
SpMV,SparseRAJA,6,0.01,11796734
SpMV,Dense,6,0.001,832768
SpMV,Specialized,6,0.001,2582
SpMV,SparseRAJA,6,0.001,6992278
SpMV,Dense,6,0.001,832942
SpMV,Specialized,6,0.001,2534
SpMV,SparseRAJA,6,0.001,7037042
SpMV,Dense,6,0.001,832182
SpMV,Specialized,6,0.001,2676
SpMV,SparseRAJA,6,0.001,7022946
SpMV,Dense,6,0.001,832729
SpMV,Specialized,6,0.001,2608
SpMV,SparseRAJA,6,0.001,7025643
SpMV,Dense,6,0.001,831597
SpMV,Specialized,6,0.001,2531
SpMV,SparseRAJA,6,0.001,6995625
SpMV,Dense,8,0.5,13164278
SpMV,Specialized,8,0.5,3199544
SpMV,SparseRAJA,8,0.5,27224929597
SpMV,Dense,8,0.5,13162911
SpMV,Specialized,8,0.5,3198710
SpMV,SparseRAJA,8,0.5,27224123019
SpMV,Dense,8,0.5,13171851
SpMV,Specialized,8,0.5,3202801
SpMV,SparseRAJA,8,0.5,27223390213
SpMV,Dense,8,0.5,13164378
SpMV,Specialized,8,0.5,3196988
SpMV,SparseRAJA,8,0.5,27222509597
SpMV,Dense,8,0.5,13166400
SpMV,Specialized,8,0.5,3198030
SpMV,SparseRAJA,8,0.5,27222936479
SpMV,Dense,8,0.1,13161764
SpMV,Specialized,8,0.1,639259
SpMV,SparseRAJA,8,0.1,9916854109
SpMV,Dense,8,0.1,13161894
SpMV,Specialized,8,0.1,638612
SpMV,SparseRAJA,8,0.1,9916300922
SpMV,Dense,8,0.1,13157569
SpMV,Specialized,8,0.1,640836
SpMV,SparseRAJA,8,0.1,9916958195
SpMV,Dense,8,0.1,13162488
SpMV,Specialized,8,0.1,640129
SpMV,SparseRAJA,8,0.1,9916938451
SpMV,Dense,8,0.1,13163274
SpMV,Specialized,8,0.1,639993
SpMV,SparseRAJA,8,0.1,9916752790
SpMV,Dense,8,0.01,13157651
SpMV,Specialized,8,0.01,66239
SpMV,SparseRAJA,8,0.01,1214158366
SpMV,Dense,8,0.01,13159090
SpMV,Specialized,8,0.01,66021
SpMV,SparseRAJA,8,0.01,1214457832
SpMV,Dense,8,0.01,13159783
SpMV,Specialized,8,0.01,66376
SpMV,SparseRAJA,8,0.01,1214269034
SpMV,Dense,8,0.01,13163079
SpMV,Specialized,8,0.01,65689
SpMV,SparseRAJA,8,0.01,1214248055
SpMV,Dense,8,0.01,13163254
SpMV,Specialized,8,0.01,66132
SpMV,SparseRAJA,8,0.01,1213959815
SpMV,Dense,8,0.001,13169543
SpMV,Specialized,8,0.001,9047
SpMV,SparseRAJA,8,0.001,175056121
SpMV,Dense,8,0.001,13161856
SpMV,Specialized,8,0.001,8408
SpMV,SparseRAJA,8,0.001,175059970
SpMV,Dense,8,0.001,13158363
SpMV,Specialized,8,0.001,8131
SpMV,SparseRAJA,8,0.001,174704210
SpMV,Dense,8,0.001,13161379
SpMV,Specialized,8,0.001,8248
SpMV,SparseRAJA,8,0.001,175181883
SpMV,Dense,8,0.001,13161266
SpMV,Specialized,8,0.001,8193
SpMV,SparseRAJA,8,0.001,175038686
