Benchmark, Variant, Size, Density, Time
SpMV,Dense,64,0.5,23773103
SpMV,Specialized,64,0.5,9949329
SpMV,SparseRAJA,64,0.5,28004858
GauSei,Dense,64,0.5,23954629
GauSei,Specialized,64,0.5,150679341
GauSei,SparseRAJA,64,0.5,1246188923
SpMV,Dense,64,0.5,23807479
SpMV,Specialized,64,0.5,9945439
SpMV,SparseRAJA,64,0.5,27999480
GauSei,Dense,64,0.5,23994411
GauSei,Specialized,64,0.5,150681559
GauSei,SparseRAJA,64,0.5,1246368620
SpMV,Dense,64,0.5,23777371
SpMV,Specialized,64,0.5,9946615
SpMV,SparseRAJA,64,0.5,27990710
GauSei,Dense,64,0.5,23953296
GauSei,Specialized,64,0.5,150659485
GauSei,SparseRAJA,64,0.5,1245932019
SpMV,Dense,64,0.5,23790792
SpMV,Specialized,64,0.5,9943252
SpMV,SparseRAJA,64,0.5,28022579
GauSei,Dense,64,0.5,23965570
GauSei,Specialized,64,0.5,150622184
GauSei,SparseRAJA,64,0.5,1245742676
SpMV,Dense,64,0.5,23790714
SpMV,Specialized,64,0.5,9943822
SpMV,SparseRAJA,64,0.5,27993359
GauSei,Dense,64,0.5,23953953
GauSei,Specialized,64,0.5,150667875
GauSei,SparseRAJA,64,0.5,1245541053
SpMV,Dense,64,0.3,23800981
SpMV,Specialized,64,0.3,5044839
SpMV,SparseRAJA,64,0.3,16752853
GauSei,Dense,64,0.3,24038492
GauSei,Specialized,64,0.3,97476605
GauSei,SparseRAJA,64,0.3,439172789
SpMV,Dense,64,0.3,23798257
SpMV,Specialized,64,0.3,5045952
SpMV,SparseRAJA,64,0.3,16763241
GauSei,Dense,64,0.3,23955025
GauSei,Specialized,64,0.3,97456584
GauSei,SparseRAJA,64,0.3,439039866
SpMV,Dense,64,0.3,23812983
SpMV,Specialized,64,0.3,5044407
SpMV,SparseRAJA,64,0.3,16820126
GauSei,Dense,64,0.3,23965447
GauSei,Specialized,64,0.3,97486927
GauSei,SparseRAJA,64,0.3,439093736
SpMV,Dense,64,0.3,23798599
SpMV,Specialized,64,0.3,5062831
SpMV,SparseRAJA,64,0.3,16748954
GauSei,Dense,64,0.3,23957982
GauSei,Specialized,64,0.3,97455922
GauSei,SparseRAJA,64,0.3,439003007
SpMV,Dense,64,0.3,23847714
SpMV,Specialized,64,0.3,5045974
SpMV,SparseRAJA,64,0.3,16768121
GauSei,Dense,64,0.3,23982392
GauSei,Specialized,64,0.3,97445614
GauSei,SparseRAJA,64,0.3,439110236
SpMV,Dense,64,0.1,23758998
SpMV,Specialized,64,0.1,1184295
SpMV,SparseRAJA,64,0.1,5501628
GauSei,Dense,64,0.1,23974697
GauSei,Specialized,64,0.1,46177204
GauSei,SparseRAJA,64,0.1,88760307
SpMV,Dense,64,0.1,23756165
SpMV,Specialized,64,0.1,1184406
SpMV,SparseRAJA,64,0.1,5502212
GauSei,Dense,64,0.1,23968639
GauSei,Specialized,64,0.1,46174394
GauSei,SparseRAJA,64,0.1,88760039
SpMV,Dense,64,0.1,23756811
SpMV,Specialized,64,0.1,1184424
SpMV,SparseRAJA,64,0.1,5520643
GauSei,Dense,64,0.1,23970709
GauSei,Specialized,64,0.1,46188425
GauSei,SparseRAJA,64,0.1,88737249
SpMV,Dense,64,0.1,23802613
SpMV,Specialized,64,0.1,1184676
SpMV,SparseRAJA,64,0.1,5504503
GauSei,Dense,64,0.1,23976182
GauSei,Specialized,64,0.1,46204536
GauSei,SparseRAJA,64,0.1,88818926
SpMV,Dense,64,0.1,23793835
SpMV,Specialized,64,0.1,1184334
SpMV,SparseRAJA,64,0.1,5520110
GauSei,Dense,64,0.1,23976281
GauSei,Specialized,64,0.1,46198466
GauSei,SparseRAJA,64,0.1,88724597
SpMV,Dense,64,0.05,23787279
SpMV,Specialized,64,0.05,515360
SpMV,SparseRAJA,64,0.05,3557678
GauSei,Dense,64,0.05,23986262
GauSei,Specialized,64,0.05,32285359
GauSei,SparseRAJA,64,0.05,56636408
SpMV,Dense,64,0.05,23777158
SpMV,Specialized,64,0.05,515639
SpMV,SparseRAJA,64,0.05,3558268
GauSei,Dense,64,0.05,23970236
GauSei,Specialized,64,0.05,32274322
GauSei,SparseRAJA,64,0.05,56660604
SpMV,Dense,64,0.05,23767252
SpMV,Specialized,64,0.05,515686
SpMV,SparseRAJA,64,0.05,3529442
GauSei,Dense,64,0.05,23969219
GauSei,Specialized,64,0.05,32301774
GauSei,SparseRAJA,64,0.05,56729292
SpMV,Dense,64,0.05,23772323
SpMV,Specialized,64,0.05,514862
SpMV,SparseRAJA,64,0.05,3557253
GauSei,Dense,64,0.05,23978595
GauSei,Specialized,64,0.05,32343393
GauSei,SparseRAJA,64,0.05,56705047
SpMV,Dense,64,0.05,23778008
SpMV,Specialized,64,0.05,515358
SpMV,SparseRAJA,64,0.05,3557289
GauSei,Dense,64,0.05,23986585
GauSei,Specialized,64,0.05,32355757
GauSei,SparseRAJA,64,0.05,56704847
SpMV,Dense,64,0.025,23771498
SpMV,Specialized,64,0.025,230128
SpMV,SparseRAJA,64,0.025,1365574
GauSei,Dense,64,0.025,23938903
GauSei,Specialized,64,0.025,19798614
GauSei,SparseRAJA,64,0.025,35428049
SpMV,Dense,64,0.025,23773863
SpMV,Specialized,64,0.025,230140
SpMV,SparseRAJA,64,0.025,1368551
GauSei,Dense,64,0.025,23926785
GauSei,Specialized,64,0.025,19804659
GauSei,SparseRAJA,64,0.025,35390773
SpMV,Dense,64,0.025,23781406
SpMV,Specialized,64,0.025,230028
SpMV,SparseRAJA,64,0.025,1365696
GauSei,Dense,64,0.025,23935485
GauSei,Specialized,64,0.025,19859504
GauSei,SparseRAJA,64,0.025,35392597
SpMV,Dense,64,0.025,23773077
SpMV,Specialized,64,0.025,230054
SpMV,SparseRAJA,64,0.025,1365545
GauSei,Dense,64,0.025,23957489
GauSei,Specialized,64,0.025,19763687
GauSei,SparseRAJA,64,0.025,35331104
SpMV,Dense,64,0.025,23773581
SpMV,Specialized,64,0.025,230015
SpMV,SparseRAJA,64,0.025,1365588
GauSei,Dense,64,0.025,23911996
GauSei,Specialized,64,0.025,19826234
GauSei,SparseRAJA,64,0.025,35369496
SpMV,Dense,64,0.01,23777221
SpMV,Specialized,64,0.01,107920
SpMV,SparseRAJA,64,0.01,585952
GauSei,Dense,64,0.01,23958041
GauSei,Specialized,64,0.01,11039251
GauSei,SparseRAJA,64,0.01,18749700
SpMV,Dense,64,0.01,23780163
SpMV,Specialized,64,0.01,108479
SpMV,SparseRAJA,64,0.01,589410
GauSei,Dense,64,0.01,23942520
GauSei,Specialized,64,0.01,11038999
GauSei,SparseRAJA,64,0.01,18761176
SpMV,Dense,64,0.01,23777515
SpMV,Specialized,64,0.01,108518
SpMV,SparseRAJA,64,0.01,586211
GauSei,Dense,64,0.01,23940710
GauSei,Specialized,64,0.01,11057061
GauSei,SparseRAJA,64,0.01,18760456
SpMV,Dense,64,0.01,23781476
SpMV,Specialized,64,0.01,108433
SpMV,SparseRAJA,64,0.01,588543
GauSei,Dense,64,0.01,23953911
GauSei,Specialized,64,0.01,11051947
GauSei,SparseRAJA,64,0.01,18749987
SpMV,Dense,64,0.01,23778762
SpMV,Specialized,64,0.01,108264
SpMV,SparseRAJA,64,0.01,585930
GauSei,Dense,64,0.01,23950183
GauSei,Specialized,64,0.01,11044828
GauSei,SparseRAJA,64,0.01,18764420
SpMV,Dense,64,0.001,23765535
SpMV,Specialized,64,0.001,19759
SpMV,SparseRAJA,64,0.001,87821
GauSei,Dense,64,0.001,23936114
GauSei,Specialized,64,0.001,2295084
GauSei,SparseRAJA,64,0.001,9297582
SpMV,Dense,64,0.001,23757866
SpMV,Specialized,64,0.001,19775
SpMV,SparseRAJA,64,0.001,87698
GauSei,Dense,64,0.001,23932175
GauSei,Specialized,64,0.001,2291988
GauSei,SparseRAJA,64,0.001,9291765
SpMV,Dense,64,0.001,23763394
SpMV,Specialized,64,0.001,19777
SpMV,SparseRAJA,64,0.001,87847
GauSei,Dense,64,0.001,23932995
GauSei,Specialized,64,0.001,2294675
GauSei,SparseRAJA,64,0.001,9280117
SpMV,Dense,64,0.001,23763270
SpMV,Specialized,64,0.001,19802
SpMV,SparseRAJA,64,0.001,87665
GauSei,Dense,64,0.001,23934050
GauSei,Specialized,64,0.001,2295762
GauSei,SparseRAJA,64,0.001,9283773
SpMV,Dense,64,0.001,23760712
SpMV,Specialized,64,0.001,18787
SpMV,SparseRAJA,64,0.001,87747
GauSei,Dense,64,0.001,23906098
GauSei,Specialized,64,0.001,2285375
