Benchmark, Variant, Size, Density, Time, Hit Rate, DIAG
SpMV,Specialized,256,1,379012073,1,0
SpMV,SparseRAJA,256,1,601517808,1,0
SpMV,Specialized,256,1,379861071,1,0
SpMV,SparseRAJA,256,1,600628559,1,0
SpMV,Specialized,256,1,431074379,1,0
SpMV,SparseRAJA,256,1,601630662,1,0
SpMV,Specialized,256,1,378991322,1,0
SpMV,SparseRAJA,256,1,601658455,1,0
SpMV,Specialized,256,1,379013918,1,0
SpMV,SparseRAJA,256,1,600446851,1,0
SpMV,Specialized,256,0.1,30153414,1,0
SpMV,SparseRAJA,256,0.1,66938775,1,0
SpMV,Specialized,256,0.05,11508888,1,0
SpMV,SparseRAJA,256,0.05,36748320,1,0
SpMV,Specialized,256,0.05,11511191,1,0
SpMV,SparseRAJA,256,0.05,35533735,1,0
SpMV,Specialized,256,0.075,20171917,1,0
SpMV,SparseRAJA,256,0.075,52094590,1,0
SpMV,Specialized,256,0.05,11510269,1,0
SpMV,SparseRAJA,256,0.05,36805646,1,0
SpMV,Specialized,256,0.075,20806150,1,0
SpMV,SparseRAJA,256,0.075,52241220,1,0
SpMV,Specialized,256,0.05,11507311,1,0
SpMV,SparseRAJA,256,0.05,36791717,1,0
SpMV,Specialized,256,0.05,11517477,1,0
SpMV,SparseRAJA,256,0.05,36886932,1,0
SpMV,Specialized,256,0.075,20171808,1,0
SpMV,SparseRAJA,256,0.075,50348233,1,0
SpMV,Specialized,256,0.075,20169626,1,0
SpMV,SparseRAJA,256,0.075,51665369,1,0
SpMV,Specialized,256,0.075,20174719,1,0
SpMV,SparseRAJA,256,0.075,50337788,1,0
GauSei,Specialized,256,0.05,18487755,1,1
GauSei,SparseRAJA,256,0.05,48903961,1,1
GauSei,Specialized,256,0.05,844708950,0.00389108,0
GauSei,SparseRAJA,256,0.05,2278259371,0.801249,0
SpMV,Specialized,256,0.01,1564938,1,0
SpMV,SparseRAJA,256,0.01,13906026,1,0
SpMV,Specialized,256,0.01,1562477,1,0
SpMV,SparseRAJA,256,0.01,13864868,1,0
SpMV,Specialized,256,0.01,1564434,1,0
SpMV,SparseRAJA,256,0.01,13921191,1,0
SpMV,Specialized,256,0.01,1563907,1,0
SpMV,SparseRAJA,256,0.01,12548387,1,0
SpMV,Specialized,256,0.01,1564233,1,0
SpMV,SparseRAJA,256,0.01,13429412,1,0
GauSei,Specialized,256,0.075,27849421,1,1
GauSei,SparseRAJA,256,0.075,66195252,1,1
GauSei,Specialized,256,0.075,1187466847,0.00389108,0
GauSei,SparseRAJA,256,0.075,3360436839,0.859432,0
GauSei,Specialized,256,0.05,18454374,1,1
GauSei,SparseRAJA,256,0.05,49352344,1,1
GauSei,Specialized,256,0.05,845586689,0.00389108,0
GauSei,SparseRAJA,256,0.05,2280199790,0.801249,0
GauSei,Dense,256,1,389140005,1,0
GauSei,Dense,256,1,391440458,1,0
GauSei,Specialized,256,0.075,27812696,1,1
GauSei,SparseRAJA,256,0.075,66543308,1,1
GauSei,Specialized,256,0.075,1187308434,0.00389108,0
GauSei,SparseRAJA,256,0.075,3359903803,0.859432,0
GauSei,Specialized,256,0.05,18480803,1,1
GauSei,SparseRAJA,256,0.05,50211282,1,1
GauSei,Specialized,256,0.05,844723306,0.00389108,0
GauSei,SparseRAJA,256,0.05,2278058481,0.801249,0
GauSei,Specialized,256,0.05,18447416,1,1
GauSei,SparseRAJA,256,0.05,49501787,1,1
GauSei,Specialized,256,0.05,844785732,0.00389108,0
GauSei,SparseRAJA,256,0.05,2278601288,0.801249,0
GauSei,Dense,256,1,389077896,1,0
GauSei,Dense,256,1,391549882,1,0
GauSei,Specialized,256,0.075,27842202,1,1
GauSei,SparseRAJA,256,0.075,66297666,1,1
GauSei,Specialized,256,0.075,1187286501,0.00389108,0
GauSei,SparseRAJA,256,0.075,3360241519,0.859432,0
GauSei,Specialized,256,0.05,18432467,1,1
GauSei,SparseRAJA,256,0.05,48966714,1,1
GauSei,Specialized,256,0.05,844703224,0.00389108,0
GauSei,SparseRAJA,256,0.05,2278189406,0.801249,0
GauSei,Specialized,256,0.075,27865701,1,1
GauSei,SparseRAJA,256,0.075,66273288,1,1
GauSei,Specialized,256,0.075,1188025713,0.00389108,0
GauSei,SparseRAJA,256,0.075,3367258790,0.859432,0
GauSei,Dense,256,1,389451162,1,0
GauSei,Dense,256,1,391448846,1,0
GauSei,Specialized,256,0.075,28021741,1,1
GauSei,SparseRAJA,256,0.075,66466035,1,1
GauSei,Specialized,256,0.075,1187606116,0.00389108,0
GauSei,SparseRAJA,256,0.075,3360802669,0.859432,0
GauSei,Dense,256,1,389097247,1,0
GauSei,Dense,256,1,391471285,1,0
SpMV,Specialized,256,0.9,340382426,1,0
SpMV,SparseRAJA,256,0.9,553486500,1,0
GauSei,Dense,256,1,389090901,1,0
GauSei,Dense,256,1,391399439,1,0
SpMV,Specialized,256,0.9,436942999,1,0
SpMV,SparseRAJA,256,0.9,552438129,1,0
SpMV,Specialized,256,0.1,30162820,1,0
SpMV,SparseRAJA,256,0.1,66765189,1,0
SpMV,Specialized,256,0.1,30147662,1,0
SpMV,SparseRAJA,256,0.1,65810741,1,0
SpMV,Specialized,256,0.1,30167550,1,0
SpMV,SparseRAJA,256,0.1,66410017,1,0
SpMV,Specialized,256,0.8,301612491,1,0
SpMV,SparseRAJA,256,0.8,482932424,1,0
SpMV,Specialized,256,0.1,30163239,1,0
SpMV,SparseRAJA,256,0.1,66920760,1,0
SpMV,Specialized,256,0.9,340435863,1,0
SpMV,SparseRAJA,256,0.9,553507033,1,0
GauSei,Specialized,256,1,383929881,1,1
GauSei,SparseRAJA,256,1,715735254,1,1
GauSei,Specialized,256,1,14787428264,0.00389108,0
GauSei,SparseRAJA,256,1,42376916779,0.988327,0
SpMV,Specialized,256,0.8,391787662,1,0
SpMV,SparseRAJA,256,0.8,482980388,1,0
SpMV,Specialized,256,0.9,340409789,1,0
SpMV,SparseRAJA,256,0.9,553814115,1,0
SpMV,Specialized,256,0.8,302203932,1,0
SpMV,SparseRAJA,256,0.8,482836386,1,0
SpMV,Specialized,256,0.9,340692141,1,0
SpMV,SparseRAJA,256,0.9,552824728,1,0
SpMV,Specialized,256,0.8,301634644,1,0
SpMV,SparseRAJA,256,0.8,482894374,1,0
SpMV,Specialized,256,0.8,301599405,1,0
SpMV,SparseRAJA,256,0.8,483042333,1,0
SpMV,Specialized,256,0.7,263388946,1,0
SpMV,SparseRAJA,256,0.7,432937084,1,0
SpMV,Specialized,256,0.7,263395604,1,0
SpMV,SparseRAJA,256,0.7,433690686,1,0
SpMV,Specialized,256,0.7,263403907,1,0
SpMV,SparseRAJA,256,0.7,433430793,1,0
SpMV,Specialized,256,0.7,263462662,1,0
SpMV,SparseRAJA,256,0.7,433697202,1,0
SpMV,Specialized,256,0.7,303517909,1,0
SpMV,SparseRAJA,256,0.7,432477175,1,0
GauSei,Specialized,256,0.9,344691198,1,1
GauSei,SparseRAJA,256,0.9,644543338,1,1
GauSei,Specialized,256,0.9,13155513246,0.00389108,0
GauSei,SparseRAJA,256,0.9,38658532125,0.987056,0
SpMV,Specialized,256,0.4,147666559,1,0
SpMV,SparseRAJA,256,0.4,250078827,1,0
SpMV,Specialized,256,0.6,304582302,1,0
SpMV,SparseRAJA,256,0.6,372001560,1,0
SpMV,Specialized,256,0.5,185621590,1,0
SpMV,SparseRAJA,256,0.5,308534562,1,0
SpMV,Specialized,256,0.4,147647986,1,0
SpMV,SparseRAJA,256,0.4,250093734,1,0
SpMV,Specialized,256,0.5,230743910,1,0
SpMV,SparseRAJA,256,0.5,308595306,1,0
SpMV,Specialized,256,0.6,224515121,1,0
SpMV,SparseRAJA,256,0.6,371771668,1,0
SpMV,Specialized,256,0.4,147682415,1,0
SpMV,SparseRAJA,256,0.4,248802143,1,0
SpMV,Specialized,256,0.4,148269742,1,0
SpMV,SparseRAJA,256,0.4,248688286,1,0
SpMV,Specialized,256,0.5,230826667,1,0
SpMV,SparseRAJA,256,0.5,308508175,1,0
SpMV,Specialized,256,0.6,224484735,1,0
SpMV,SparseRAJA,256,0.6,371782613,1,0
SpMV,Specialized,256,0.4,148178973,1,0
SpMV,SparseRAJA,256,0.4,248653909,1,0
SpMV,Specialized,256,0.5,185591926,1,0
SpMV,SparseRAJA,256,0.5,309716930,1,0
SpMV,Specialized,256,0.2,69123989,1,0
SpMV,SparseRAJA,256,0.2,125218783,1,0
SpMV,Specialized,256,0.6,224476095,1,0
SpMV,SparseRAJA,256,0.6,372026961,1,0
SpMV,Specialized,256,0.2,69149450,1,0
SpMV,SparseRAJA,256,0.2,126731165,1,0
SpMV,Specialized,256,0.5,185640876,1,0
SpMV,SparseRAJA,256,0.5,309789095,1,0
SpMV,Specialized,256,0.2,69151940,1,0
SpMV,SparseRAJA,256,0.2,125055386,1,0
SpMV,Specialized,256,0.2,69145106,1,0
SpMV,SparseRAJA,256,0.2,126131688,1,0
GauSei,Specialized,256,0.01,5077552,1,1
GauSei,SparseRAJA,256,0.01,19911155,1,1
