Benchmark, Variant, Size, Density, Time, Hit Rate,DIAG
GauSei,Specialized,256,0.025,9754561,1,1
GauSei,SparseRAJA,256,0.025,32205656,1,1
GauSei,Specialized,256,0.025,495951636,0.00778216,0
GauSei,SparseRAJA,256,0.025,31150873,1,0
SpMV,Specialized,256,0.1,30159632,1,0
SpMV,SparseRAJA,256,0.1,86346328,1,0
SpMV,Specialized,256,0.2,97544906,1,0
SpMV,SparseRAJA,256,0.2,145148770,1,0
SpMV,Specialized,256,0.3,108476375,1,0
SpMV,SparseRAJA,256,0.3,236402522,1,0
GauSei,Specialized,256,0.4,153465329,1,1
GauSei,SparseRAJA,256,0.4,351317872,1,1
GauSei,Specialized,256,0.4,5883846506,0.00389108,0
GauSei,SparseRAJA,256,0.4,291294160,1,0
GauSei,Specialized,256,0.05,18389566,1,1
GauSei,SparseRAJA,256,0.05,52455940,1,1
GauSei,Specialized,256,0.05,838541267,0.00389108,0
GauSei,SparseRAJA,256,0.05,44352677,1,0
SpMV,Specialized,256,0.2,69590752,1,0
SpMV,SparseRAJA,256,0.2,145086655,1,0
GauSei,Specialized,256,0.01,4793001,1,1
GauSei,SparseRAJA,256,0.01,18770549,1,1
GauSei,Specialized,256,0.01,265807369,0.0778216,0
GauSei,SparseRAJA,256,0.01,17224151,1,0
SpMV,Specialized,256,0.3,108454214,1,0
SpMV,SparseRAJA,256,0.3,236332356,1,0
SpMV,Specialized,256,0.2,69151659,1,0
SpMV,SparseRAJA,256,0.2,145100998,1,0
GauSei,Specialized,256,0.025,9777894,1,1
GauSei,SparseRAJA,256,0.025,32209987,1,1
GauSei,Specialized,256,0.025,496205058,0.00778216,0
GauSei,SparseRAJA,256,0.025,28757717,1,0
SpMV,Specialized,256,0.2,69639620,1,0
SpMV,SparseRAJA,256,0.2,145092131,1,0
GauSei,Specialized,256,0.1,37634464,1,1
GauSei,SparseRAJA,256,0.1,95570013,1,1
GauSei,Specialized,256,0.1,1528670004,0.00389108,0
