Benchmark, Variant, Size, Density, Time, Hit Rate
GauSei,Specialized,64,0.5,143394542,1.0
GauSei,SparseRAJA,64,0.5,2208742030,0.466377
GauSei,Specialized,64,0.5,143448484,1.0
GauSei,SparseRAJA,64,0.5,2209586331,0.466377
GauSei,Specialized,64,0.5,143437656,1.0
GauSei,SparseRAJA,64,0.5,2209954554,0.466377
GauSei,Specialized,64,0.5,143424952,1.0
GauSei,SparseRAJA,64,0.5,2210106761,0.466377
GauSei,Specialized,64,0.5,143435450,1.0
GauSei,SparseRAJA,64,0.5,2209529750,0.466377
GauSei,Specialized,64,0.3,99375106,1.0
GauSei,SparseRAJA,64,0.3,945321066,0.428685
GauSei,Specialized,64,0.3,99536043,1.0
GauSei,SparseRAJA,64,0.3,945593441,0.428685
GauSei,Specialized,64,0.3,99419503,1.0
GauSei,SparseRAJA,64,0.3,946428979,0.428685
GauSei,Specialized,64,0.3,99458956,1.0
GauSei,SparseRAJA,64,0.3,945495776,0.428685
GauSei,Specialized,64,0.3,99468142,1.0
GauSei,SparseRAJA,64,0.3,945624150,0.428685
GauSei,Specialized,64,0.1,49855965,1.0
GauSei,SparseRAJA,64,0.1,196760936,0.356828
GauSei,Specialized,64,0.1,49796949,1.0
GauSei,SparseRAJA,64,0.1,196910677,0.356828
GauSei,Specialized,64,0.1,49935098,1.0
GauSei,SparseRAJA,64,0.1,196945342,0.356828
GauSei,Specialized,64,0.1,49885398,1.0
GauSei,SparseRAJA,64,0.1,197072993,0.356828
GauSei,Specialized,64,0.1,49755626,1.0
GauSei,SparseRAJA,64,0.1,196904056,0.356828
GauSei,Specialized,64,0.05,37205162,1.0
GauSei,SparseRAJA,64,0.05,90363780,0.378277
GauSei,Specialized,64,0.05,37223618,1.0
GauSei,SparseRAJA,64,0.05,90038345,0.378277
GauSei,Specialized,64,0.05,37268327,1.0
GauSei,SparseRAJA,64,0.05,90000289,0.378277
GauSei,Specialized,64,0.05,37226960,1.0
GauSei,SparseRAJA,64,0.05,89971131,0.378277
GauSei,Specialized,64,0.05,37214564,1.0
GauSei,SparseRAJA,64,0.05,90098151,0.378277
GauSei,Specialized,64,0.025,29128776,1.0
GauSei,SparseRAJA,64,0.025,46989126,0.375
GauSei,Specialized,64,0.025,29147210,1.0
GauSei,SparseRAJA,64,0.025,46988200,0.375
GauSei,Specialized,64,0.025,29124605,1.0
GauSei,SparseRAJA,64,0.025,47852600,0.375
GauSei,Specialized,64,0.025,29131559,1.0
GauSei,SparseRAJA,64,0.025,46918406,0.375
GauSei,Specialized,64,0.025,29103465,1.0
GauSei,SparseRAJA,64,0.025,46956975,0.375
GauSei,Specialized,64,0.01,13442384,1.0
GauSei,SparseRAJA,64,0.01,19196803,0.586538
GauSei,Specialized,64,0.01,13421252,1.0
GauSei,SparseRAJA,64,0.01,19062318,0.586538
GauSei,Specialized,64,0.01,13443720,1.0
GauSei,SparseRAJA,64,0.01,19263713,0.586538
GauSei,Specialized,64,0.01,13453180,1.0
GauSei,SparseRAJA,64,0.01,19109379,0.586538
GauSei,Specialized,64,0.01,13449242,1.0
GauSei,SparseRAJA,64,0.01,19667549,0.586538
GauSei,Specialized,64,0.5,143759128,1.0
GauSei,SparseRAJA,64,0.5,2210495324,0.466377
GauSei,Specialized,64,0.5,143749608,1.0
GauSei,SparseRAJA,64,0.5,2209663658,0.466377
GauSei,Specialized,128,0.5,941580128,1.0
