Benchmark, Variant, Size, Density, Time, Hit Rate, DIAG
GauSei,Specialized,8192,9.76563e-06,5513518338,0.92518,0
GauSei,SparseRAJA,8192,9.76563e-06,8177015971,0.900204,0
GauSei,Specialized,8192,9.76563e-06,51603760,1,1
GauSei,SparseRAJA,8192,9.76563e-06,161185298,1,1
GauSei,Specialized,8192,9.76563e-06,5311415759,0.92518,0
GauSei,SparseRAJA,8192,9.76563e-06,8117856985,0.900204,0
GauSei,Specialized,8192,9.76563e-06,51056597,1,1
GauSei,SparseRAJA,8192,9.76563e-06,161480135,1,1
GauSei,Specialized,8192,9.76563e-06,5434943791,0.92518,0
GauSei,SparseRAJA,8192,9.76563e-06,8454228667,0.900204,0
GauSei,Specialized,8192,9.76563e-06,51653517,1,1
GauSei,SparseRAJA,8192,9.76563e-06,162373960,1,1
GauSei,Specialized,8192,9.76563e-06,5696737378,0.92518,0
GauSei,SparseRAJA,8192,9.76563e-06,8816714833,0.900204,0
