Benchmark, Variant, Size, Density, Time, Hit Rate, DIAG
GauSei,Specialized,512,0.01,1484134359,0.011696,COO
GauSei,SparseRAJA,512,0.01,3373815329,0.633397,COO
GauSei,Specialized,512,0.01,444470441,0.00974663,CSR
GauSei,SparseRAJA,512,0.01,966872679,0.636218,CSR
GauSei,Specialized,512,0.01,17516942,1,DIAG
GauSei,SparseRAJA,512,0.01,56063503,1,DIAG
SpMV,Specialized,512,0.9,1499004442,1,COO
SpMV,SparseRAJA,512,0.9,2355793538,1,COO
SpMV,Specialized,512,0.7,1140518328,1,COO
SpMV,SparseRAJA,512,0.7,1828117135,1,COO
SpMV,Specialized,512,1,1533139192,1,COO
SpMV,SparseRAJA,512,1,2626216089,1,COO
SpMV,Specialized,512,0.8,1283144325,1,COO
SpMV,SparseRAJA,512,0.8,1794452182,1,COO
GauSei,Specialized,512,0.025,3111766165,0.00194933,COO
GauSei,SparseRAJA,512,0.025,8302330964,0.806493,COO
GauSei,Specialized,512,0.025,905944206,0.00194933,CSR
GauSei,SparseRAJA,512,0.025,2322813220,0.807654,CSR
GauSei,Specialized,512,0.025,38012488,1,DIAG
GauSei,SparseRAJA,512,0.025,99135017,1,DIAG
GauSei,Specialized,512,0.01,1484223354,0.011696,COO
GauSei,SparseRAJA,512,0.01,3373936020,0.633397,COO
GauSei,Specialized,512,0.01,444481163,0.00974663,CSR
GauSei,SparseRAJA,512,0.01,966757503,0.636218,CSR
GauSei,Specialized,512,0.01,17523741,1,DIAG
GauSei,SparseRAJA,512,0.01,57440231,1,DIAG
SpMV,Specialized,512,0.9,1460666178,1,COO
SpMV,SparseRAJA,512,0.9,2355218186,1,COO
SpMV,Specialized,512,1,1675367788,1,COO
SpMV,SparseRAJA,512,1,2626373602,1,COO
GauSei,Specialized,512,0.01,1484238374,0.011696,COO
GauSei,SparseRAJA,512,0.01,3374489461,0.633397,COO
GauSei,Specialized,512,0.01,444549828,0.00974663,CSR
GauSei,SparseRAJA,512,0.01,966798744,0.636218,CSR
GauSei,Specialized,512,0.01,17540569,1,DIAG
GauSei,SparseRAJA,512,0.01,56183101,1,DIAG
SpMV,Specialized,512,1,1563924758,1,Dense
SpMV,Specialized,512,1,1563892091,1,Dense
GauSei,Specialized,512,0.01,1483949502,0.011696,COO
GauSei,SparseRAJA,512,0.01,3373938196,0.633397,COO
GauSei,Specialized,512,0.01,444551145,0.00974663,CSR
GauSei,SparseRAJA,512,0.01,966845230,0.636218,CSR
GauSei,Specialized,512,0.01,17548757,1,DIAG
GauSei,SparseRAJA,512,0.01,56022348,1,DIAG
GauSei,Specialized,512,0.025,3111723209,0.00194933,COO
GauSei,SparseRAJA,512,0.025,8302205407,0.806493,COO
GauSei,Specialized,512,0.025,905838865,0.00194933,CSR
GauSei,SparseRAJA,512,0.025,2323445989,0.807654,CSR
GauSei,Specialized,512,0.025,38014124,1,DIAG
GauSei,SparseRAJA,512,0.025,98965632,1,DIAG
GauSei,Specialized,512,0.05,5905816051,0.00194933,COO
GauSei,SparseRAJA,512,0.05,16515532472,0.893579,COO
GauSei,Specialized,512,0.05,1638424198,0.00194933,CSR
GauSei,SparseRAJA,512,0.05,4499662076,0.893107,CSR
GauSei,Specialized,512,0.05,75491541,1,DIAG
GauSei,SparseRAJA,512,0.05,180312502,1,DIAG
SpMV,Specialized,512,0.2,293039894,1,COO
SpMV,SparseRAJA,512,0.2,538361732,1,COO
SpMV,Specialized,512,0.2,293091110,1,COO
SpMV,SparseRAJA,512,0.2,538286165,1,COO
SpMV,Specialized,512,0.2,293040621,1,COO
SpMV,SparseRAJA,512,0.2,538361498,1,COO
SpMV,Specialized,512,1,1563801467,1,Dense
SpMV,Specialized,512,0.2,293480665,1,COO
SpMV,SparseRAJA,512,0.2,538353970,1,COO
