Benchmark, Variant, Size, Density, Time
SpMV,Specialized,64,0.5,102508
SpMV,SparseRAJA,64,0.5,318857
SpMV,Specialized,64,0.5,103133
SpMV,SparseRAJA,64,0.5,318910
SpMV,Specialized,64,0.5,102510
SpMV,SparseRAJA,64,0.5,318381
SpMV,Specialized,64,0.5,102144
SpMV,SparseRAJA,64,0.5,318799
SpMV,Specialized,64,0.5,102371
SpMV,SparseRAJA,64,0.5,318788
SpMV,Specialized,64,0.3,54080
SpMV,SparseRAJA,64,0.3,188647
SpMV,Specialized,64,0.3,54355
SpMV,SparseRAJA,64,0.3,189061
SpMV,Specialized,64,0.3,53980
SpMV,SparseRAJA,64,0.3,189030
SpMV,Specialized,64,0.3,54483
SpMV,SparseRAJA,64,0.3,189016
SpMV,Specialized,64,0.3,54206
SpMV,SparseRAJA,64,0.3,189038
SpMV,Specialized,64,0.1,15062
SpMV,SparseRAJA,64,0.1,51756
SpMV,Specialized,64,0.1,15015
SpMV,SparseRAJA,64,0.1,51662
SpMV,Specialized,64,0.1,15246
SpMV,SparseRAJA,64,0.1,52236
SpMV,Specialized,64,0.1,15171
SpMV,SparseRAJA,64,0.1,51809
SpMV,Specialized,64,0.1,15146
SpMV,SparseRAJA,64,0.1,51838
SpMV,Specialized,64,0.05,8212
SpMV,SparseRAJA,64,0.05,28596
SpMV,Specialized,64,0.05,8185
SpMV,SparseRAJA,64,0.05,28814
SpMV,Specialized,64,0.05,8187
SpMV,SparseRAJA,64,0.05,28763
SpMV,Specialized,64,0.05,8338
SpMV,SparseRAJA,64,0.05,28870
SpMV,Specialized,64,0.05,8238
SpMV,SparseRAJA,64,0.05,28958
SpMV,Specialized,64,0.025,5459
SpMV,SparseRAJA,64,0.025,14841
SpMV,Specialized,64,0.025,5490
SpMV,SparseRAJA,64,0.025,14857
SpMV,Specialized,64,0.025,5332
SpMV,SparseRAJA,64,0.025,14648
SpMV,Specialized,64,0.025,5424
SpMV,SparseRAJA,64,0.025,14837
SpMV,Specialized,64,0.025,5316
SpMV,SparseRAJA,64,0.025,14716
SpMV,Specialized,64,0.01,4060
SpMV,SparseRAJA,64,0.01,7637
SpMV,Specialized,64,0.01,4187
SpMV,SparseRAJA,64,0.01,7632
SpMV,Specialized,64,0.01,4304
SpMV,SparseRAJA,64,0.01,7553
SpMV,Specialized,64,0.01,3999
SpMV,SparseRAJA,64,0.01,7417
SpMV,Specialized,64,0.01,4101
SpMV,SparseRAJA,64,0.01,7511
SpMV,Specialized,128,0.5,450559
SpMV,SparseRAJA,128,0.5,1174412
SpMV,Specialized,128,0.5,701350
SpMV,SparseRAJA,128,0.5,1173474
SpMV,Specialized,128,0.5,450457
SpMV,SparseRAJA,128,0.5,1173359
SpMV,Specialized,128,0.5,451166
SpMV,SparseRAJA,128,0.5,1173777
SpMV,Specialized,128,0.5,680105
SpMV,SparseRAJA,128,0.5,1174445
SpMV,Specialized,128,0.3,255053
SpMV,SparseRAJA,128,0.3,728296
SpMV,Specialized,128,0.3,255615
SpMV,SparseRAJA,128,0.3,727616
SpMV,Specialized,128,0.3,255508
SpMV,SparseRAJA,128,0.3,728427
SpMV,Specialized,128,0.3,254908
SpMV,SparseRAJA,128,0.3,727964
SpMV,Specialized,128,0.3,255080
SpMV,SparseRAJA,128,0.3,727402
SpMV,Specialized,128,0.1,61663
SpMV,SparseRAJA,128,0.1,234919
SpMV,Specialized,128,0.1,61971
SpMV,SparseRAJA,128,0.1,234233
SpMV,Specialized,128,0.1,61599
SpMV,SparseRAJA,128,0.1,234886
SpMV,Specialized,128,0.1,64447
SpMV,SparseRAJA,128,0.1,234602
SpMV,Specialized,128,0.1,61713
SpMV,SparseRAJA,128,0.1,234745
SpMV,Specialized,128,0.05,26136
SpMV,SparseRAJA,128,0.05,127109
SpMV,Specialized,128,0.05,26129
SpMV,SparseRAJA,128,0.05,126870
SpMV,Specialized,128,0.05,26087
SpMV,SparseRAJA,128,0.05,127106
SpMV,Specialized,128,0.05,26194
SpMV,SparseRAJA,128,0.05,127234
SpMV,Specialized,128,0.05,26201
SpMV,SparseRAJA,128,0.05,126923
SpMV,Specialized,128,0.025,12892
SpMV,SparseRAJA,128,0.025,57371
SpMV,Specialized,128,0.025,12617
SpMV,SparseRAJA,128,0.025,57724
