Benchmark, Variant, Size, Density, Time, Hit Rate
GauSei,Specialized,256,0.01,265338419,1.0
GauSei,SparseRAJA,256,0.01,450997228,0.543454
GauSei,Specialized,256,0.025,481850153,1.0
GauSei,SparseRAJA,256,0.025,1075064416,0.682418
GauSei,Specialized,256,0.01,265228476,1.0
GauSei,SparseRAJA,256,0.01,450666852,0.543454
GauSei,Specialized,256,0.05,823524131,1.0
GauSei,SparseRAJA,256,0.05,2223796109,0.800233
GauSei,Specialized,256,0.01,265220337,1.0
GauSei,SparseRAJA,256,0.01,451007815,0.543454
GauSei,Specialized,256,0.01,265143381,1.0
GauSei,SparseRAJA,256,0.01,450839103,0.543454
GauSei,Specialized,256,0.025,481843884,1.0
GauSei,SparseRAJA,256,0.025,1075040380,0.682418
GauSei,Specialized,256,0.01,265270897,1.0
GauSei,SparseRAJA,256,0.01,450717690,0.543454
GauSei,Specialized,256,0.1,1524936216,1.0
GauSei,SparseRAJA,256,0.1,4286247298,0.89244
GauSei,Specialized,256,0.075,1163806423,1.0
GauSei,SparseRAJA,256,0.075,3337881388,0.858522
GauSei,Specialized,256,0.025,482264133,1.0
GauSei,SparseRAJA,256,0.025,1075075307,0.682418
GauSei,Specialized,256,0.05,823234694,1.0
GauSei,SparseRAJA,256,0.05,2223976580,0.800233
GauSei,Specialized,256,0.025,481724950,1.0
GauSei,SparseRAJA,256,0.025,1075081486,0.682418
GauSei,Specialized,256,0.025,481902562,1.0
GauSei,SparseRAJA,256,0.025,1075179055,0.682418
GauSei,Specialized,256,0.05,823826556,1.0
GauSei,SparseRAJA,256,0.05,2223718325,0.800233
GauSei,Specialized,256,0.075,1163686017,1.0
GauSei,SparseRAJA,256,0.075,3337765450,0.858522
GauSei,Specialized,256,0.2,2896183009,1.0
GauSei,SparseRAJA,256,0.2,8770801014,0.943074
GauSei,Specialized,256,0.1,1525243699,1.0
GauSei,SparseRAJA,256,0.1,4286814977,0.89244
GauSei,Specialized,256,0.05,823298288,1.0
GauSei,SparseRAJA,256,0.05,2223709847,0.800233
GauSei,Specialized,256,0.075,1163733242,1.0
GauSei,SparseRAJA,256,0.075,3337876663,0.858522
GauSei,Specialized,256,0.05,823518942,1.0
GauSei,SparseRAJA,256,0.05,2223468756,0.800233
GauSei,Specialized,256,0.1,1524885550,1.0
GauSei,SparseRAJA,256,0.1,4286720541,0.89244
GauSei,Specialized,256,0.3,4505426243,1.0
GauSei,SparseRAJA,256,0.3,13039324879,0.962012
GauSei,Specialized,256,0.075,1163981388,1.0
GauSei,SparseRAJA,256,0.075,3337859156,0.858522
GauSei,Specialized,256,0.4,5933492716,1.0
GauSei,SparseRAJA,256,0.4,17346878358,0.971449
GauSei,Specialized,256,0.2,2896199423,1.0
GauSei,SparseRAJA,256,0.2,8770221998,0.943074
GauSei,Specialized,256,0.1,1525196753,1.0
GauSei,SparseRAJA,256,0.1,4286799641,0.89244
GauSei,Specialized,256,0.075,1163678419,1.0
GauSei,SparseRAJA,256,0.075,3337712489,0.858522
GauSei,Specialized,256,0.5,7252514514,1.0
GauSei,SparseRAJA,256,0.5,21785282790,0.976793
GauSei,Specialized,256,0.1,1525172940,1.0
GauSei,SparseRAJA,256,0.1,4287150055,0.89244
GauSei,Specialized,256,0.2,2895568025,1.0
GauSei,SparseRAJA,256,0.2,8769053432,0.943074
GauSei,Specialized,256,0.6,8625090970,1.0
GauSei,SparseRAJA,256,0.6,25998411082,0.980607
GauSei,Specialized,256,0.3,4506586551,1.0
GauSei,SparseRAJA,256,0.3,13040127672,0.962012
GauSei,Specialized,256,0.7,10204431168,1.0
GauSei,SparseRAJA,256,0.7,30278949858,0.98337
GauSei,Specialized,256,0.8,11571878610,1.0
GauSei,SparseRAJA,256,0.8,34363955413,0.985417
GauSei,Specialized,256,0.4,5933444422,1.0
GauSei,SparseRAJA,256,0.4,17344850618,0.971449
GauSei,Specialized,256,0.2,2895494136,1.0
GauSei,SparseRAJA,256,0.2,8769196736,0.943074
GauSei,Specialized,256,0.9,12992919963,1.0
GauSei,SparseRAJA,256,0.9,37997739358,0.987074
GauSei,Specialized,256,0.3,4506520716,1.0
GauSei,SparseRAJA,256,0.3,13039528477,0.962012
GauSei,Specialized,256,1,14382802842,1.0
GauSei,SparseRAJA,256,1,42903543842,0.988327
GauSei,Specialized,256,0.5,7253060080,1.0
GauSei,SparseRAJA,256,0.5,21780965986,0.976793
GauSei,Specialized,256,0.2,2896298142,1.0
GauSei,SparseRAJA,256,0.2,8770034409,0.943074
GauSei,Specialized,256,0.4,5933806552,1.0
GauSei,SparseRAJA,256,0.4,17343311224,0.971449
