Benchmark, Variant, Size, Density, Time, Hit Rate
SpMV,Specialized,256,1,417665153,1.0
SpMV,SparseRAJA,256,1,851362400,1
SpMV,Specialized,256,0.8,301614330,1.0
SpMV,SparseRAJA,256,0.8,682404888,1
SpMV,Specialized,256,0.6,224441755,1.0
SpMV,SparseRAJA,256,0.6,414288243,1
SpMV,Specialized,256,0.4,147599065,1.0
SpMV,SparseRAJA,256,0.4,274099062,1
SpMV,Specialized,256,0.9,340265540,1.0
SpMV,SparseRAJA,256,0.9,628225389,1
SpMV,Specialized,256,0.7,263524440,1.0
SpMV,SparseRAJA,256,0.7,490364406,1
SpMV,Specialized,256,0.5,185507787,1.0
SpMV,SparseRAJA,256,0.5,350719134,1
SpMV,Specialized,256,0.075,20255985,1.0
SpMV,SparseRAJA,256,0.075,58441917,1
SpMV,Specialized,256,0.1,30193900,1.0
SpMV,SparseRAJA,256,0.1,76800466,1
SpMV,Specialized,256,0.2,69328385,1.0
SpMV,SparseRAJA,256,0.2,157483295,1
SpMV,Specialized,256,0.075,20271180,1.0
SpMV,SparseRAJA,256,0.075,58458324,1
SpMV,Specialized,256,0.1,30156555,1.0
SpMV,SparseRAJA,256,0.1,76790780,1
SpMV,Specialized,256,0.4,147615481,1.0
SpMV,SparseRAJA,256,0.4,274215062,1
SpMV,Specialized,256,0.075,20262194,1.0
SpMV,SparseRAJA,256,0.075,58467801,1
SpMV,Specialized,256,0.3,108444627,1.0
SpMV,SparseRAJA,256,0.3,241974412,1
SpMV,Specialized,256,0.1,30200392,1.0
SpMV,SparseRAJA,256,0.1,76767381,1
SpMV,Specialized,256,0.075,20256269,1.0
SpMV,SparseRAJA,256,0.075,58443526,1
SpMV,Specialized,256,0.2,69235747,1.0
SpMV,SparseRAJA,256,0.2,157499852,1
SpMV,Specialized,256,0.075,20251184,1.0
SpMV,SparseRAJA,256,0.075,58443888,1
SpMV,Specialized,256,0.1,30151778,1.0
SpMV,SparseRAJA,256,0.1,76814166,1
SpMV,Specialized,256,0.1,30190665,1.0
SpMV,SparseRAJA,256,0.1,76786792,1
SpMV,Specialized,256,0.6,224787646,1.0
SpMV,SparseRAJA,256,0.6,414224165,1
SpMV,Specialized,256,0.025,4573894,1.0
SpMV,SparseRAJA,256,0.025,23295642,1
SpMV,Specialized,256,0.2,69231163,1.0
SpMV,SparseRAJA,256,0.2,157494652,1

SpMV,Specialized,256,0.05,11483543,1.0
SpMV,SparseRAJA,256,0.05,45123528,1
SpMV,Specialized,256,0.025,4574457,1.0
SpMV,SparseRAJA,256,0.025,23300032,1
SpMV,Specialized,256,0.025,4577261,1.0
SpMV,SparseRAJA,256,0.025,23301987,1
SpMV,Specialized,256,0.05,11489105,1.0
SpMV,SparseRAJA,256,0.05,45116069,1
SpMV,Specialized,256,0.3,108774293,1.0
SpMV,SparseRAJA,256,0.3,241925953,1
SpMV,Specialized,256,0.025,4573775,1.0
SpMV,SparseRAJA,256,0.025,23305501,1
SpMV,Specialized,256,0.01,1563746,1.0
SpMV,SparseRAJA,256,0.01,10218226,1
SpMV,Specialized,256,0.01,1563632,1.0
SpMV,SparseRAJA,256,0.01,10223642,1
SpMV,Specialized,256,0.025,4578751,1.0
SpMV,SparseRAJA,256,0.025,23300100,1
SpMV,Specialized,256,0.01,1563033,1.0
SpMV,SparseRAJA,256,0.01,10220804,1
SpMV,Specialized,256,0.05,11484904,1.0
SpMV,SparseRAJA,256,0.05,45143040,1
SpMV,Specialized,256,0.01,1563029,1.0
SpMV,SparseRAJA,256,0.01,10234739,1
SpMV,Specialized,256,0.05,11501069,1.0
SpMV,SparseRAJA,256,0.05,45184066,1
SpMV,Specialized,256,0.4,147966703,1.0
SpMV,SparseRAJA,256,0.4,274211340,1
SpMV,Specialized,256,0.05,11483812,1.0
SpMV,SparseRAJA,256,0.05,45122766,1
SpMV,Specialized,256,0.2,98687936,1.0
SpMV,SparseRAJA,256,0.2,157781577,1
SpMV,Specialized,256,0.8,301585131,1.0
SpMV,SparseRAJA,256,0.8,682276458,1
SpMV,Specialized,256,0.7,320006318,1.0
SpMV,SparseRAJA,256,0.7,490262265,1
SpMV,Specialized,256,0.3,108419132,1.0
SpMV,SparseRAJA,256,0.3,242045568,1
SpMV,Specialized,256,0.2,69242821,1.0
SpMV,SparseRAJA,256,0.2,157487626,1
SpMV,Specialized,256,0.9,340242068,1.0
SpMV,SparseRAJA,256,0.9,628287598,1
SpMV,Specialized,256,1,417791357,1.0
SpMV,SparseRAJA,256,1,851349790,1
SpMV,Specialized,256,0.4,147616998,1.0
SpMV,SparseRAJA,256,0.4,274131140,1
SpMV,Specialized,256,0.5,185523659,1.0
SpMV,SparseRAJA,256,0.5,350554456,1
SpMV,Specialized,256,0.3,108782087,1.0
SpMV,SparseRAJA,256,0.3,241958844,1
SpMV,Specialized,256,0.6,224438428,1.0
SpMV,SparseRAJA,256,0.6,414214263,1
SpMV,Specialized,256,0.4,147611471,1.0
SpMV,SparseRAJA,256,0.4,274161650,1
SpMV,Specialized,256,0.3,138760250,1.0
SpMV,SparseRAJA,256,0.3,241999665,1
SpMV,Specialized,256,0.5,185532924,1.0
SpMV,SparseRAJA,256,0.5,350574103,1
SpMV,Specialized,256,0.7,263897159,1.0
SpMV,SparseRAJA,256,0.7,490270944,1
SpMV,Specialized,256,0.8,350620513,1.0
SpMV,SparseRAJA,256,0.8,682167271,1
SpMV,Specialized,256,0.6,269845639,1.0
SpMV,SparseRAJA,256,0.6,414325294,1
SpMV,Specialized,256,0.5,185577209,1.0
SpMV,SparseRAJA,256,0.5,350555095,1
SpMV,Specialized,256,0.9,406755063,1.0
SpMV,SparseRAJA,256,0.9,628238983,1
SpMV,Specialized,256,1,452021230,1.0
SpMV,SparseRAJA,256,1,851156008,1
SpMV,Specialized,256,0.7,263342793,1.0
SpMV,SparseRAJA,256,0.7,490269201,1
SpMV,Specialized,256,0.6,267218056,1.0
SpMV,SparseRAJA,256,0.6,414332558,1
SpMV,Specialized,256,0.8,378985357,1.0
SpMV,SparseRAJA,256,0.8,682299948,1
SpMV,Specialized,256,0.7,263343815,1.0
SpMV,SparseRAJA,256,0.7,490323781,1
SpMV,Specialized,256,0.9,340652563,1.0
SpMV,SparseRAJA,256,0.9,628238013,1
SpMV,Specialized,256,0.8,301706199,1.0
SpMV,SparseRAJA,256,0.8,682341980,1
SpMV,Specialized,256,1,447813120,1.0
SpMV,SparseRAJA,256,1,851442968,1
SpMV,Specialized,256,0.9,378566756,1.0
SpMV,SparseRAJA,256,0.9,628227508,1
SpMV,Specialized,256,1,429363329,1.0
SpMV,SparseRAJA,256,1,851302601,1
