Benchmark, Variant, Size, Density, Time, Hit Rate
GauSei,Specialized,64,0.5,143758162,1.0
GauSei,SparseRAJA,64,0.5,2209557998,0.466377
GauSei,Specialized,64,0.5,143808111,1.0
GauSei,SparseRAJA,64,0.5,2209716200,0.466377
GauSei,Specialized,64,0.5,143766982,1.0
GauSei,SparseRAJA,64,0.5,2210286517,0.466377
GauSei,Specialized,64,0.5,143786421,1.0
GauSei,SparseRAJA,64,0.5,2209810378,0.466377
GauSei,Specialized,64,0.5,143767000,1.0
GauSei,SparseRAJA,64,0.5,2210299378,0.466377
GauSei,Specialized,64,0.3,99910829,1.0
GauSei,SparseRAJA,64,0.3,985027164,0.428685
GauSei,Specialized,64,0.3,99937513,1.0
GauSei,SparseRAJA,64,0.3,946514712,0.428685
GauSei,Specialized,64,0.3,99943647,1.0
GauSei,SparseRAJA,64,0.3,946191359,0.428685
GauSei,Specialized,64,0.3,99957516,1.0
GauSei,SparseRAJA,64,0.3,946332602,0.428685
GauSei,Specialized,64,0.3,99943389,1.0
GauSei,SparseRAJA,64,0.3,985007968,0.428685
GauSei,Specialized,64,0.1,49992026,1.0
GauSei,SparseRAJA,64,0.1,197436170,0.356828
GauSei,Specialized,64,0.1,49928911,1.0
GauSei,SparseRAJA,64,0.1,198471719,0.356828
GauSei,Specialized,64,0.1,49891463,1.0
GauSei,SparseRAJA,64,0.1,197280839,0.356828
GauSei,Specialized,64,0.1,49962488,1.0
GauSei,SparseRAJA,64,0.1,197289095,0.356828
GauSei,Specialized,64,0.1,49863841,1.0
GauSei,SparseRAJA,64,0.1,197352409,0.356828
GauSei,Specialized,64,0.05,37239636,1.0
GauSei,SparseRAJA,64,0.05,91305669,0.378277
GauSei,Specialized,64,0.05,37280066,1.0
GauSei,SparseRAJA,64,0.05,90163162,0.378277
GauSei,Specialized,64,0.05,37246845,1.0
GauSei,SparseRAJA,64,0.05,90549818,0.378277
GauSei,Specialized,64,0.05,37255839,1.0
GauSei,SparseRAJA,64,0.05,90079998,0.378277
GauSei,Specialized,64,0.05,37251721,1.0
GauSei,SparseRAJA,64,0.05,90182859,0.378277
GauSei,Specialized,64,0.025,29081813,1.0
GauSei,SparseRAJA,64,0.025,47163898,0.375
GauSei,Specialized,64,0.025,29084222,1.0
GauSei,SparseRAJA,64,0.025,47881385,0.375
GauSei,Specialized,64,0.025,29103018,1.0
GauSei,SparseRAJA,64,0.025,47187413,0.375
GauSei,Specialized,64,0.025,29117897,1.0
GauSei,SparseRAJA,64,0.025,47827451,0.375
GauSei,Specialized,64,0.025,29069096,1.0
GauSei,SparseRAJA,64,0.025,47151879,0.375
GauSei,Specialized,64,0.01,13465084,1.0
GauSei,SparseRAJA,64,0.01,19135432,0.586538
GauSei,Specialized,64,0.01,13457915,1.0
GauSei,SparseRAJA,64,0.01,19085576,0.586538
GauSei,Specialized,64,0.01,13447980,1.0
GauSei,SparseRAJA,64,0.01,19337424,0.586538
GauSei,Specialized,64,0.01,13480574,1.0
GauSei,SparseRAJA,64,0.01,19167702,0.586538
GauSei,Specialized,64,0.01,13454934,1.0
GauSei,SparseRAJA,64,0.01,19155060,0.586538
GauSei,Specialized,128,0.5,941750306,1.0
GauSei,SparseRAJA,128,0.5,29472331804,0.502583
GauSei,Specialized,128,0.5,942039882,1.0
GauSei,SparseRAJA,128,0.5,29473695174,0.502583
GauSei,Specialized,1024,0.001,1332282916,1.0
GauSei,SparseRAJA,1024,0.001,2112355931,0.486605
GauSei,Specialized,1024,0.001,1332616095,1.0
GauSei,SparseRAJA,1024,0.001,2120596984,0.486605
GauSei,Specialized,1024,0.001,1332096143,1.0
GauSei,SparseRAJA,1024,0.001,2115464759,0.486605
GauSei,Specialized,1024,0.001,1332284269,1.0
GauSei,SparseRAJA,1024,0.001,2120486207,0.486605
GauSei,Specialized,128,0.5,941672591,1.0
GauSei,SparseRAJA,128,0.5,29472161584,0.502583
GauSei,Specialized,1024,0.001,1332445563,1.0
GauSei,SparseRAJA,1024,0.001,2112478174,0.486605
GauSei,Specialized,128,0.5,941775995,1.0
GauSei,SparseRAJA,128,0.5,29472364876,0.502583
GauSei,Specialized,192,0.5,3172985190,1.0
