Benchmark, Variant, Size, Density, Time, Hit Rate, DIAG
GauSei,SparseRAJA,1024,0.000625,45475780,1,1
GauSei,Specialized,1024,0.000625,846697800,0.523903,0
GauSei,SparseRAJA,1024,0.000625,1236064903,0.568675,0
GauSei,Specialized,1024,0.000625,13273051,1,1
GauSei,SparseRAJA,1024,0.000625,45596686,1,1
GauSei,Specialized,1024,0.000625,846590868,0.523903,0
GauSei,SparseRAJA,1024,0.000625,1235979841,0.568675,0
GauSei,Specialized,1024,0.000625,13231267,1,1
GauSei,SparseRAJA,1024,0.000625,45718705,1,1
GauSei,Specialized,1024,0.000625,846408703,0.523903,0
GauSei,SparseRAJA,1024,0.000625,1236894619,0.568675,0
GauSei,Specialized,1024,0.000625,13252959,1,1
GauSei,SparseRAJA,1024,0.000625,45598449,1,1
GauSei,Specialized,1024,0.000625,846620534,0.523903,0
GauSei,SparseRAJA,1024,0.000625,1235644731,0.568675,0
GauSei,Specialized,1024,0.000625,13215176,1,1
GauSei,SparseRAJA,1024,0.000625,56443347,1,1
GauSei,Specialized,1024,0.000625,846586667,0.523903,0
GauSei,SparseRAJA,1024,0.000625,1236004693,0.568675,0
GauSei,Specialized,2048,0.00015625,19573871,1,1
GauSei,SparseRAJA,2048,0.00015625,86833797,1,1
GauSei,Specialized,2048,0.00015625,1514429337,0.715472,0
GauSei,SparseRAJA,2048,0.00015625,2363553972,0.670092,0
GauSei,Specialized,1024,0.00625,45614122,1,1
GauSei,SparseRAJA,1024,0.00625,131097903,1,1
GauSei,Specialized,1024,0.00625,6587328963,0.00195122,0
GauSei,SparseRAJA,1024,0.00625,15810879605,0.681782,0
GauSei,Specialized,2048,0.00015625,19596822,1,1
GauSei,SparseRAJA,2048,0.00015625,86950597,1,1
GauSei,Specialized,2048,0.00015625,1515072346,0.715472,0
GauSei,SparseRAJA,2048,0.00015625,2366134656,0.670092,0
GauSei,Specialized,2048,0.00015625,19533532,1,1
GauSei,SparseRAJA,2048,0.00015625,86966942,1,1
GauSei,Specialized,2048,0.00015625,1517932770,0.715472,0
GauSei,SparseRAJA,2048,0.00015625,2363784433,0.670092,0
GauSei,Specialized,2048,0.00015625,19575257,1,1
GauSei,SparseRAJA,2048,0.00015625,87094095,1,1
GauSei,Specialized,2048,0.00015625,1514411460,0.715472,0
GauSei,SparseRAJA,2048,0.00015625,2363480152,0.670092,0
GauSei,Specialized,2048,0.00015625,19763688,1,1
GauSei,SparseRAJA,2048,0.00015625,86844308,1,1
GauSei,Specialized,2048,0.00015625,1514218543,0.715472,0
GauSei,SparseRAJA,2048,0.00015625,2363193524,0.670092,0
GauSei,Specialized,1024,0.00625,45488574,1,1
GauSei,SparseRAJA,1024,0.00625,127350721,1,1
GauSei,Specialized,1024,0.00625,6586409386,0.00195122,0
GauSei,SparseRAJA,1024,0.00625,15809622548,0.681782,0
GauSei,Specialized,4096,3.90625e-05,32569841,1,1
GauSei,SparseRAJA,4096,3.90625e-05,132256045,1,1
GauSei,Specialized,4096,3.90625e-05,2484484172,0.855749,0
GauSei,SparseRAJA,4096,3.90625e-05,3760626991,0.817107,0
GauSei,Specialized,4096,3.90625e-05,32526120,1,1
GauSei,SparseRAJA,4096,3.90625e-05,132226531,1,1
GauSei,Specialized,4096,3.90625e-05,2483058976,0.855749,0
GauSei,SparseRAJA,4096,3.90625e-05,3760943363,0.817107,0
GauSei,Specialized,4096,3.90625e-05,32566920,1,1
GauSei,SparseRAJA,4096,3.90625e-05,132164648,1,1
GauSei,Specialized,4096,3.90625e-05,2483926623,0.855749,0
GauSei,SparseRAJA,4096,3.90625e-05,3760899475,0.817107,0
GauSei,Specialized,4096,3.90625e-05,32531721,1,1
GauSei,SparseRAJA,4096,3.90625e-05,132207846,1,1
GauSei,Specialized,4096,3.90625e-05,2483854396,0.855749,0
GauSei,SparseRAJA,4096,3.90625e-05,3760745492,0.817107,0
GauSei,Specialized,4096,3.90625e-05,32335541,1,1
GauSei,SparseRAJA,4096,3.90625e-05,163820291,1,1
GauSei,Specialized,4096,3.90625e-05,2484542660,0.855749,0
GauSei,SparseRAJA,4096,3.90625e-05,3761283698,0.817107,0
GauSei,Specialized,8192,9.76563e-06,61996006,1,1
GauSei,SparseRAJA,8192,9.76563e-06,273098354,1,1
GauSei,Specialized,8192,9.76563e-06,4593743175,0.92518,0
GauSei,SparseRAJA,8192,9.76563e-06,6753139331,0.900204,0
GauSei,Specialized,8192,9.76563e-06,62065020,1,1
GauSei,SparseRAJA,8192,9.76563e-06,306170970,1,1
GauSei,Specialized,8192,9.76563e-06,4597127544,0.92518,0
GauSei,SparseRAJA,8192,9.76563e-06,6750614707,0.900204,0
GauSei,Specialized,8192,9.76563e-06,62039995,1,1
GauSei,SparseRAJA,8192,9.76563e-06,273673707,1,1
GauSei,Specialized,8192,9.76563e-06,4594036890,0.92518,0
GauSei,SparseRAJA,8192,9.76563e-06,6750677121,0.900204,0
GauSei,Specialized,8192,9.76563e-06,61108940,1,1
GauSei,SparseRAJA,8192,9.76563e-06,274147550,1,1
GauSei,Specialized,8192,9.76563e-06,4593780981,0.92518,0
GauSei,SparseRAJA,8192,9.76563e-06,6755611452,0.900204,0
GauSei,Specialized,8192,9.76563e-06,61964884,1,1
GauSei,SparseRAJA,8192,9.76563e-06,275548418,1,1
GauSei,Specialized,8192,9.76563e-06,4596715505,0.92518,0
GauSei,SparseRAJA,8192,9.76563e-06,6753604070,0.900204,0
