Benchmark, Variant, Size, Density, Time, Hit Rate, DIAG
SpMV,SparseRAJA,1024,0.005,52429832,1,COO
GauSei,Specialized,1024,0.02,32584399381,0.000975612,COO
GauSei,SparseRAJA,1024,0.02,92775177113,0.869492,COO
GauSei,Specialized,1024,0.02,9486831440,0.000976562,CSR
GauSei,SparseRAJA,1024,0.02,29478676192,0.86987,CSR
GauSei,Specialized,1024,0.02,134333250,1,DIAG
GauSei,SparseRAJA,1024,0.02,259600537,0.999955,DIAG
GauSei,Specialized,1024,0.01,14169251194,0.00195122,COO
GauSei,SparseRAJA,1024,0.01,40920953674,0.767913,COO
GauSei,Specialized,1024,0.01,4141990445,0.000976562,CSR
GauSei,SparseRAJA,1024,0.01,11014831421,0.769927,CSR
GauSei,Specialized,1024,0.01,78451290,1,DIAG
GauSei,SparseRAJA,1024,0.01,147096309,0.999913,DIAG
SpMV,Specialized,1024,0.001,1836851,1,COO
SpMV,SparseRAJA,1024,0.001,21534280,1,COO
SpMV,Specialized,1024,0.009,20128737,1,COO
SpMV,SparseRAJA,1024,0.009,85166664,1,COO
SpMV,Specialized,1024,0.005,10060252,1,COO
SpMV,SparseRAJA,1024,0.005,52138172,1,COO
SpMV,Specialized,1024,0.001,1834101,1,COO
SpMV,SparseRAJA,1024,0.001,21872914,1,COO
SpMV,Specialized,1024,0.009,19106328,1,COO
SpMV,SparseRAJA,1024,0.009,83899918,1,COO
GauSei,Specialized,1024,0.01,14285077725,0.00195122,COO
GauSei,SparseRAJA,1024,0.01,41403932883,0.767913,COO
GauSei,Specialized,1024,0.01,4031518621,0.000976562,CSR
GauSei,SparseRAJA,1024,0.01,10861554479,0.769927,CSR
GauSei,Specialized,1024,0.01,80388882,1,DIAG
GauSei,SparseRAJA,1024,0.01,151672375,0.999913,DIAG
SpMV,Specialized,1024,0.001,1816773,1,COO
SpMV,SparseRAJA,1024,0.001,21637298,1,COO
SpMV,Specialized,1024,0.009,18928103,1,COO
SpMV,SparseRAJA,1024,0.009,83709556,1,COO
GauSei,Specialized,1024,0.01,14459100928,0.00195122,COO
GauSei,SparseRAJA,1024,0.01,39729064824,0.767913,COO
GauSei,Specialized,1024,0.01,3975992050,0.000976562,CSR
GauSei,SparseRAJA,1024,0.01,10820244912,0.769927,CSR
GauSei,Specialized,1024,0.01,80290174,1,DIAG
GauSei,SparseRAJA,1024,0.01,150961274,0.999913,DIAG
SpMV,Specialized,1024,0.001,1946654,1,COO
SpMV,SparseRAJA,1024,0.001,21852035,1,COO
SpMV,Specialized,1024,0.009,18792833,1,COO
SpMV,SparseRAJA,1024,0.009,83688886,1,COO
SpMV,Specialized,1024,0.04,101406317,1,COO
SpMV,SparseRAJA,1024,0.04,333558657,1,COO
SpMV,Specialized,1024,0.07,186559129,1,COO
SpMV,SparseRAJA,1024,0.07,572015823,1,COO
SpMV,Specialized,1024,0.04,100525108,1,COO
SpMV,SparseRAJA,1024,0.04,332986697,1,COO
SpMV,Specialized,1024,0.07,190810056,1,COO
SpMV,SparseRAJA,1024,0.07,580472185,1,COO
GauSei,Specialized,1024,0.01,14424426822,0.00195122,COO
GauSei,SparseRAJA,1024,0.01,39860078550,0.767913,COO
GauSei,Specialized,1024,0.01,4003778662,0.000976562,CSR
GauSei,SparseRAJA,1024,0.01,10845319646,0.769927,CSR
GauSei,Specialized,1024,0.01,78516977,1,DIAG
GauSei,SparseRAJA,1024,0.01,147466008,0.999913,DIAG
SpMV,Specialized,1024,0.04,100127394,1,COO
SpMV,SparseRAJA,1024,0.04,333161167,1,COO
SpMV,Specialized,1024,0.07,186461561,1,COO
SpMV,SparseRAJA,1024,0.07,570450006,1,COO
GauSei,Specialized,1024,0.02,32262873006,0.000975612,COO
GauSei,SparseRAJA,1024,0.02,92038256041,0.869492,COO
GauSei,Specialized,1024,0.02,9222005464,0.000976562,CSR
GauSei,SparseRAJA,1024,0.02,29267975308,0.86987,CSR
GauSei,Specialized,1024,0.02,134365266,1,DIAG
GauSei,SparseRAJA,1024,0.02,259176787,0.999955,DIAG
SpMV,Specialized,1024,0.04,105320076,1,COO
SpMV,SparseRAJA,1024,0.04,340227913,1,COO
GauSei,Specialized,1024,0.01,14556067643,0.00195122,COO
GauSei,SparseRAJA,1024,0.01,39921619138,0.767913,COO
GauSei,Specialized,1024,0.01,4233198030,0.000976562,CSR
GauSei,SparseRAJA,1024,0.01,10996619261,0.769927,CSR
GauSei,Specialized,1024,0.01,80228949,1,DIAG
