Benchmark, Variant, Size, Density, Time, Hit Rate
GauSei,Specialized,256,1,383617974,1.0
GauSei,SparseRAJA,256,1,729288655,1
GauSei,Specialized,256,1,383653096,1.0
GauSei,SparseRAJA,256,1,729301402,1
GauSei,Specialized,256,0.9,344469937,1.0
GauSei,SparseRAJA,256,0.9,677153725,1
GauSei,Specialized,256,0.8,306450965,1.0
GauSei,SparseRAJA,256,0.8,581165287,1
GauSei,Specialized,256,1,383650882,1.0
GauSei,SparseRAJA,256,1,729431394,1
GauSei,Specialized,256,0.9,344469160,1.0
GauSei,SparseRAJA,256,0.9,676893826,1
GauSei,Specialized,256,0.7,268312592,1.0
GauSei,SparseRAJA,256,0.7,515530221,1
GauSei,Specialized,256,0.8,306429002,1.0
GauSei,SparseRAJA,256,0.8,581226167,1
GauSei,Specialized,256,0.4,153156279,1.0
GauSei,SparseRAJA,256,0.4,307434039,1
GauSei,Specialized,256,0.5,190916373,1.0
GauSei,SparseRAJA,256,0.5,372434963,1
GauSei,Specialized,256,0.4,153165851,1.0
GauSei,SparseRAJA,256,0.4,307454943,1
GauSei,Specialized,256,0.6,229335511,1.0
GauSei,SparseRAJA,256,0.6,445204184,1
GauSei,Specialized,256,0.7,268302901,1.0
GauSei,SparseRAJA,256,0.7,515565587,1
GauSei,Specialized,256,0.8,306432525,1.0
GauSei,SparseRAJA,256,0.8,581264619,1
GauSei,Specialized,256,0.9,344497797,1.0
GauSei,SparseRAJA,256,0.9,677174747,1
GauSei,Specialized,256,1,383615023,1.0
GauSei,SparseRAJA,256,1,729359447,1
GauSei,Specialized,256,0.4,153153037,1.0
GauSei,SparseRAJA,256,0.4,307419791,1
GauSei,Specialized,256,0.5,190896997,1.0
GauSei,SparseRAJA,256,0.5,372530215,1
GauSei,Specialized,256,0.6,229324129,1.0
GauSei,SparseRAJA,256,0.6,445263087,1
GauSei,Specialized,256,0.7,268345805,1.0
GauSei,SparseRAJA,256,0.7,515582240,1
GauSei,Specialized,256,0.4,153157666,1.0
GauSei,SparseRAJA,256,0.4,307615964,1
GauSei,Specialized,256,0.2,76159369,1.0
GauSei,SparseRAJA,256,0.2,151699727,1
GauSei,Specialized,256,0.5,190899912,1.0
GauSei,SparseRAJA,256,0.5,372470800,1
GauSei,Specialized,256,0.8,306443791,1.0
GauSei,SparseRAJA,256,0.8,581188485,1
GauSei,Specialized,256,0.1,37355988,1.0
GauSei,SparseRAJA,256,0.1,81196843,1
GauSei,Specialized,256,0.3,114197421,1.0
GauSei,SparseRAJA,256,0.3,228392262,1
GauSei,Specialized,256,0.1,37285761,1.0
GauSei,SparseRAJA,256,0.1,81269235,1
GauSei,Specialized,256,0.2,76246102,1.0
GauSei,SparseRAJA,256,0.2,151721434,1
GauSei,Specialized,256,0.9,344474769,1.0
GauSei,SparseRAJA,256,0.9,676882915,1
GauSei,Specialized,256,0.6,229354773,1.0
GauSei,SparseRAJA,256,0.6,445385482,1
GauSei,Specialized,256,0.4,153140342,1.0
GauSei,SparseRAJA,256,0.4,307386895,1
GauSei,Specialized,256,1,383594409,1.0
GauSei,SparseRAJA,256,1,729411004,1
GauSei,Specialized,256,0.1,37314423,1.0
GauSei,SparseRAJA,256,0.1,81152997,1
GauSei,Specialized,256,0.3,114216552,1.0
GauSei,SparseRAJA,256,0.3,228189072,1
GauSei,Specialized,256,0.2,76190161,1.0
GauSei,SparseRAJA,256,0.2,151671763,1
GauSei,Specialized,256,0.1,37381411,1.0
GauSei,SparseRAJA,256,0.1,81207514,1
GauSei,Specialized,256,0.5,190912881,1.0
GauSei,SparseRAJA,256,0.5,372302200,1
GauSei,Specialized,256,0.7,268307858,1.0
GauSei,SparseRAJA,256,0.7,515662451,1
GauSei,Specialized,256,0.1,37357797,1.0
GauSei,SparseRAJA,256,0.1,81204274,1
GauSei,Specialized,256,0.2,76122180,1.0
GauSei,SparseRAJA,256,0.2,151699499,1
GauSei,Specialized,256,0.3,114200913,1.0
GauSei,SparseRAJA,256,0.3,228260689,1
GauSei,Specialized,256,0.2,76166244,1.0
GauSei,SparseRAJA,256,0.2,151664974,1
GauSei,Specialized,256,0.6,229329111,1.0
GauSei,SparseRAJA,256,0.6,445211402,1
GauSei,Specialized,256,0.8,306446625,1.0
GauSei,SparseRAJA,256,0.8,581221245,1
GauSei,Specialized,256,0.05,18141046,1.0
GauSei,SparseRAJA,256,0.05,44657812,1
GauSei,Specialized,256,0.075,27555824,1.0
GauSei,SparseRAJA,256,0.075,62880158,1
GauSei,Specialized,256,0.5,190923765,1.0
GauSei,SparseRAJA,256,0.5,372614977,1
GauSei,Specialized,256,0.05,18135569,1.0
GauSei,SparseRAJA,256,0.05,44653211,1
GauSei,Specialized,256,0.075,27530333,1.0
GauSei,SparseRAJA,256,0.075,62902803,1
GauSei,Specialized,256,0.05,18113426,1.0
GauSei,SparseRAJA,256,0.05,44720631,1
GauSei,Specialized,256,0.9,344463771,1.0
GauSei,SparseRAJA,256,0.9,676891462,1
GauSei,Specialized,256,0.025,9767175,1.0
GauSei,SparseRAJA,256,0.025,27529449,1
GauSei,Specialized,256,0.05,18117631,1.0
GauSei,SparseRAJA,256,0.05,44645895,1
GauSei,Specialized,256,0.075,27521598,1.0
GauSei,SparseRAJA,256,0.075,62846681,1
GauSei,Specialized,256,0.025,9732776,1.0
GauSei,SparseRAJA,256,0.025,27558203,1
GauSei,Specialized,256,0.7,268326768,1.0
GauSei,SparseRAJA,256,0.7,515602459,1
GauSei,Specialized,256,0.05,18152082,1.0
GauSei,SparseRAJA,256,0.05,44634225,1
GauSei,Specialized,256,0.025,9767985,1.0
GauSei,SparseRAJA,256,0.025,27622649,1
GauSei,Specialized,256,0.075,27592830,1.0
GauSei,SparseRAJA,256,0.075,62884451,1
GauSei,Specialized,256,0.025,9749195,1.0
GauSei,SparseRAJA,256,0.025,27524704,1
GauSei,Specialized,256,0.025,9721132,1.0
GauSei,SparseRAJA,256,0.025,27567275,1
GauSei,Specialized,256,0.3,114209281,1.0
GauSei,SparseRAJA,256,0.3,228359127,1
GauSei,Specialized,256,0.075,27486965,1.0
GauSei,SparseRAJA,256,0.075,62871605,1
GauSei,Specialized,256,0.6,229372161,1.0
GauSei,SparseRAJA,256,0.6,445421910,1
GauSei,Specialized,256,0.01,4988645,1.0
GauSei,SparseRAJA,256,0.01,17015638,1
GauSei,Specialized,256,0.01,4967917,1.0
GauSei,SparseRAJA,256,0.01,16996884,1
GauSei,Specialized,256,0.01,4986836,1.0
GauSei,SparseRAJA,256,0.01,17321664,1
GauSei,Specialized,256,0.01,5020082,1.0
GauSei,SparseRAJA,256,0.01,16992113,1
GauSei,Specialized,256,0.01,4969410,1.0
GauSei,SparseRAJA,256,0.01,17007841,1
