Benchmark, Variant, Size, Density, Time
SpMV,Dense,6,0.5,8318423
SpMV,Specialized,6,0.5,1987503
SpMV,SparseRAJA,6,0.5,20045339
SpMV,Dense,6,0.5,8336420
SpMV,Specialized,6,0.5,1987355
SpMV,SparseRAJA,6,0.5,20460476
SpMV,Dense,6,0.5,8320474
SpMV,Specialized,6,0.5,1988280
SpMV,SparseRAJA,6,0.5,20033786
SpMV,Dense,6,0.5,8322222
SpMV,Specialized,6,0.5,1985877
SpMV,SparseRAJA,6,0.5,20307443
SpMV,Dense,6,0.5,8320790
SpMV,Specialized,6,0.5,1987471
SpMV,SparseRAJA,6,0.5,20280926
SpMV,Dense,6,0.1,8316075
SpMV,Specialized,6,0.1,394176
SpMV,SparseRAJA,6,0.1,3930592
SpMV,Dense,6,0.1,8314611
SpMV,Specialized,6,0.1,392844
SpMV,SparseRAJA,6,0.1,4007480
SpMV,Dense,6,0.1,8320095
SpMV,Specialized,6,0.1,393592
SpMV,SparseRAJA,6,0.1,3910717
SpMV,Dense,6,0.1,8316308
SpMV,Specialized,6,0.1,392942
SpMV,SparseRAJA,6,0.1,3924195
SpMV,Dense,6,0.1,8332971
SpMV,Specialized,6,0.1,393537
SpMV,SparseRAJA,6,0.1,3936765
SpMV,Dense,6,0.01,8317282
SpMV,Specialized,6,0.01,43583
SpMV,SparseRAJA,6,0.01,398922
SpMV,Dense,6,0.01,8316761
SpMV,Specialized,6,0.01,44078
SpMV,SparseRAJA,6,0.01,403743
SpMV,Dense,6,0.01,8317514
SpMV,Specialized,6,0.01,43971
SpMV,SparseRAJA,6,0.01,405870
SpMV,Dense,6,0.01,8329050
SpMV,Specialized,6,0.01,43653
SpMV,SparseRAJA,6,0.01,406578
SpMV,Dense,6,0.01,8317601
SpMV,Specialized,6,0.01,43202
SpMV,SparseRAJA,6,0.01,399192
SpMV,Dense,6,0.001,8315538
SpMV,Specialized,6,0.001,8139
SpMV,SparseRAJA,6,0.001,50038
SpMV,Dense,6,0.001,8315849
SpMV,Specialized,6,0.001,8318
SpMV,SparseRAJA,6,0.001,50123
SpMV,Dense,6,0.001,8311310
SpMV,Specialized,6,0.001,8158
SpMV,SparseRAJA,6,0.001,49881
SpMV,Dense,6,0.001,8315668
SpMV,Specialized,6,0.001,8428
SpMV,SparseRAJA,6,0.001,51278
SpMV,Dense,6,0.001,8319076
SpMV,Specialized,6,0.001,8160
SpMV,SparseRAJA,6,0.001,50703
SpMV,Dense,8,0.5,132040606
SpMV,Specialized,8,0.5,31990975
SpMV,SparseRAJA,8,0.5,324061573
SpMV,Dense,8,0.5,132038046
SpMV,Specialized,8,0.5,31989522
SpMV,SparseRAJA,8,0.5,317432592
SpMV,Dense,8,0.5,132056423
SpMV,Specialized,8,0.5,31996395
SpMV,SparseRAJA,8,0.5,323922463
SpMV,Dense,8,0.5,132029889
SpMV,Specialized,8,0.5,31981973
SpMV,SparseRAJA,8,0.5,318513459
SpMV,Dense,8,0.5,132036201
SpMV,Specialized,8,0.5,31986373
SpMV,SparseRAJA,8,0.5,320767465
SpMV,Dense,8,0.1,132048156
SpMV,Specialized,8,0.1,6376102
SpMV,SparseRAJA,8,0.1,64817465
SpMV,Dense,8,0.1,132075935
SpMV,Specialized,8,0.1,6379252
SpMV,SparseRAJA,8,0.1,65742521
SpMV,Dense,8,0.1,132066765
SpMV,Specialized,8,0.1,6380022
SpMV,SparseRAJA,8,0.1,64592530
SpMV,Dense,8,0.1,132061066
SpMV,Specialized,8,0.1,6378446
SpMV,SparseRAJA,8,0.1,65215776
SpMV,Dense,8,0.1,132056326
SpMV,Specialized,8,0.1,6380543
SpMV,SparseRAJA,8,0.1,65781350
SpMV,Dense,8,0.01,131968272
SpMV,Specialized,8,0.01,645042
SpMV,SparseRAJA,8,0.01,6580845
SpMV,Dense,8,0.01,131950838
SpMV,Specialized,8,0.01,644779
SpMV,SparseRAJA,8,0.01,6524744
SpMV,Dense,8,0.01,131954071
SpMV,Specialized,8,0.01,645057
SpMV,SparseRAJA,8,0.01,6596458
SpMV,Dense,8,0.01,131949141
SpMV,Specialized,8,0.01,645825
SpMV,SparseRAJA,8,0.01,6514286
SpMV,Dense,8,0.01,131967965
SpMV,Specialized,8,0.01,643816
SpMV,SparseRAJA,8,0.01,6620758
SpMV,Dense,8,0.001,131950997
SpMV,Specialized,8,0.001,65031
SpMV,SparseRAJA,8,0.001,635974
SpMV,Dense,8,0.001,131955232
SpMV,Specialized,8,0.001,65140
SpMV,SparseRAJA,8,0.001,625781
SpMV,Dense,8,0.001,131951272
SpMV,Specialized,8,0.001,65062
SpMV,SparseRAJA,8,0.001,632045
SpMV,Dense,8,0.001,131953303
SpMV,Specialized,8,0.001,65560
SpMV,SparseRAJA,8,0.001,639211
SpMV,Dense,8,0.001,131968234
SpMV,Specialized,8,0.001,65544
SpMV,SparseRAJA,8,0.001,632216
