Benchmark, Variant, Size, Density, Time, Hit Rate
SpMV,Specialized,256,0.3,108431026,1.0
SpMV,SparseRAJA,256,0.3,228477378,1
SpMV,Specialized,256,0.4,148218608,1.0
SpMV,SparseRAJA,256,0.4,303744673,1
SpMV,Specialized,256,0.2,101306831,1.0
SpMV,SparseRAJA,256,0.2,150266075,1
SpMV,Specialized,256,0.2,69150460,1.0
SpMV,SparseRAJA,256,0.2,150233436,1
SpMV,Specialized,256,0.2,69145713,1.0
SpMV,SparseRAJA,256,0.2,150118988,1
SpMV,Specialized,256,0.2,69161056,1.0
SpMV,SparseRAJA,256,0.2,150106308,1
GauSei,Specialized,256,0.8,11579757235,1.0
GauSei,SparseRAJA,256,0.8,657197572,1
GauSei,Specialized,256,0.2,2878711532,1.0
GauSei,SparseRAJA,256,0.2,163863168,1
SpMV,Specialized,256,0.2,69167400,1.0
SpMV,SparseRAJA,256,0.2,150152878,1
SpMV,Specialized,256,0.1,30166445,1.0
SpMV,SparseRAJA,256,0.1,83668480,1
SpMV,Specialized,256,0.1,30156149,1.0
SpMV,SparseRAJA,256,0.1,83617746,1
SpMV,Specialized,256,0.1,30150711,1.0
SpMV,SparseRAJA,256,0.1,83734562,1
GauSei,Specialized,256,0.1,1521448356,1.0
GauSei,SparseRAJA,256,0.1,89414991,1
SpMV,Specialized,256,0.1,30560460,1.0
SpMV,SparseRAJA,256,0.1,83666888,1
SpMV,Specialized,256,0.1,30163762,1.0
SpMV,SparseRAJA,256,0.1,83736339,1
GauSei,Specialized,256,0.3,4494094146,1.0
GauSei,SparseRAJA,256,0.3,241260586,1
GauSei,Specialized,256,0.075,1170247776,1.0
GauSei,SparseRAJA,256,0.075,70654116,1
GauSei,Specialized,256,0.2,2879180427,1.0
GauSei,SparseRAJA,256,0.2,163890606,1
GauSei,Specialized,256,0.1,1521775482,1.0
GauSei,SparseRAJA,256,0.1,89347706,1
GauSei,Specialized,256,0.075,1170439925,1.0
GauSei,SparseRAJA,256,0.075,70837979,1
GauSei,Specialized,256,0.6,8819119760,1.0
GauSei,SparseRAJA,256,0.6,471976299,1
GauSei,Specialized,256,0.4,5904435084,1.0
GauSei,SparseRAJA,256,0.4,330654021,1
GauSei,Specialized,256,0.1,1521652064,1.0
GauSei,SparseRAJA,256,0.1,87498201,1
GauSei,Specialized,256,0.075,1170358250,1.0
GauSei,SparseRAJA,256,0.075,70613371,1
SpMV,Specialized,256,0.075,20174226,1.0
SpMV,SparseRAJA,256,0.075,62965552,1
