Benchmark, Variant, Size, Density, Time
SpMV,Specialized,64,0.5,9946754
SpMV,SparseRAJA,64,0.5,28560201
SpMV,Specialized,64,0.5,9946473
SpMV,SparseRAJA,64,0.5,29116672
SpMV,Specialized,64,0.5,9978079
SpMV,SparseRAJA,64,0.5,30405860
SpMV,Specialized,64,0.5,9952809
SpMV,SparseRAJA,64,0.5,28585141
SpMV,Specialized,64,0.5,9948276
SpMV,SparseRAJA,64,0.5,28581353
SpMV,Specialized,64,0.3,5054559
SpMV,SparseRAJA,64,0.3,17056671
SpMV,Specialized,64,0.3,5053886
SpMV,SparseRAJA,64,0.3,17092138
SpMV,Specialized,64,0.3,5059016
SpMV,SparseRAJA,64,0.3,17082093
SpMV,Specialized,64,0.3,5056522
SpMV,SparseRAJA,64,0.3,17074502
SpMV,Specialized,64,0.3,5052539
SpMV,SparseRAJA,64,0.3,17054900
SpMV,Specialized,64,0.1,1185458
SpMV,SparseRAJA,64,0.1,5222125
SpMV,Specialized,64,0.1,1186550
SpMV,SparseRAJA,64,0.1,5225886
SpMV,Specialized,64,0.1,1186181
SpMV,SparseRAJA,64,0.1,5218482
SpMV,Specialized,64,0.1,1185570
SpMV,SparseRAJA,64,0.1,5224043
SpMV,Specialized,64,0.1,1186489
SpMV,SparseRAJA,64,0.1,5229199
SpMV,Specialized,64,0.05,516199
SpMV,SparseRAJA,64,0.05,3249639
SpMV,Specialized,64,0.05,516299
SpMV,SparseRAJA,64,0.05,3251951
SpMV,Specialized,64,0.05,516505
SpMV,SparseRAJA,64,0.05,3244713
SpMV,Specialized,64,0.05,517042
SpMV,SparseRAJA,64,0.05,3244870
SpMV,Specialized,64,0.05,516712
SpMV,SparseRAJA,64,0.05,3245018
SpMV,Specialized,64,0.025,232163
SpMV,SparseRAJA,64,0.025,1423848
SpMV,Specialized,64,0.025,232266
SpMV,SparseRAJA,64,0.025,1423716
SpMV,Specialized,64,0.025,232204
SpMV,SparseRAJA,64,0.025,1424277
SpMV,Specialized,64,0.025,232278
SpMV,SparseRAJA,64,0.025,1423565
SpMV,Specialized,64,0.025,232500
SpMV,SparseRAJA,64,0.025,1463481
SpMV,Specialized,64,0.01,108607
