Benchmark, Variant, Size, Density, Time
GauSei,Specialized,1024,0.001,1333128013
GauSei,SparseRAJA,1024,0.001,2115038696
GauSei,Specialized,1024,0.001,1333147747
GauSei,SparseRAJA,1024,0.001,2115867328
GauSei,Specialized,1024,0.001,1333602914
GauSei,SparseRAJA,1024,0.001,2115497503
GauSei,Specialized,1024,0.001,1333373779
GauSei,SparseRAJA,1024,0.001,2114511340
GauSei,Specialized,1024,0.001,1334210625
GauSei,SparseRAJA,1024,0.001,2115098839
GauSei,Specialized,128,0.5,941792105
GauSei,SparseRAJA,128,0.5,29474982303
GauSei,Specialized,1024,0.0001,135426250
GauSei,SparseRAJA,1024,0.0001,187544467
GauSei,Specialized,1024,0.0001,135481996
GauSei,SparseRAJA,1024,0.0001,187334185
GauSei,Specialized,1024,0.0001,135371664
GauSei,SparseRAJA,1024,0.0001,187401680
GauSei,Specialized,1024,0.0001,135470537
GauSei,SparseRAJA,1024,0.0001,187379791
GauSei,Specialized,1024,0.0001,135563495
GauSei,SparseRAJA,1024,0.0001,187472106
GauSei,Specialized,1024,1e-05,25729814
GauSei,SparseRAJA,1024,1e-05,44395831
GauSei,Specialized,1024,1e-05,25747413
GauSei,SparseRAJA,1024,1e-05,44399288
GauSei,Specialized,1024,1e-05,25773670
GauSei,SparseRAJA,1024,1e-05,44406899
GauSei,Specialized,1024,1e-05,25762339
GauSei,SparseRAJA,1024,1e-05,44405372
GauSei,Specialized,1024,1e-05,25755298
GauSei,SparseRAJA,1024,1e-05,44411264
GauSei,Specialized,2048,0.001,9654687010
GauSei,SparseRAJA,2048,0.001,19712186608
GauSei,Specialized,128,0.5,941929657
GauSei,SparseRAJA,128,0.5,29479350070
GauSei,Specialized,2048,0.001,9655855426
GauSei,SparseRAJA,2048,0.001,19711731497
GauSei,Specialized,1024,0.01,9760897949
GauSei,SparseRAJA,1024,0.01,66654505389
GauSei,Specialized,128,0.5,941957615
GauSei,SparseRAJA,128,0.5,29476861421
GauSei,Specialized,2048,0.001,9655696543
GauSei,SparseRAJA,2048,0.001,19710504115
GauSei,Specialized,128,0.5,942036567
GauSei,SparseRAJA,128,0.5,29477001091
GauSei,Specialized,2048,0.001,9655152489
GauSei,SparseRAJA,2048,0.001,19710816780
GauSei,Specialized,128,0.5,941978960
GauSei,SparseRAJA,128,0.5,29476162441
GauSei,Specialized,2048,0.001,9655758940
GauSei,SparseRAJA,2048,0.001,19708745210
GauSei,Specialized,2048,0.0001,925599530
GauSei,SparseRAJA,2048,0.0001,1443763993
GauSei,Specialized,2048,0.0001,925556301
GauSei,SparseRAJA,2048,0.0001,1443020396
GauSei,Specialized,2048,0.0001,925754393
GauSei,SparseRAJA,2048,0.0001,1443469604
GauSei,Specialized,128,0.3,595230720
GauSei,SparseRAJA,128,0.3,11686438520
GauSei,Specialized,1024,0.01,9761720669
GauSei,SparseRAJA,1024,0.01,66677243057
GauSei,Specialized,2048,0.0001,925817097
GauSei,SparseRAJA,2048,0.0001,1443041087
GauSei,Specialized,2048,0.0001,925923412
GauSei,SparseRAJA,2048,0.0001,1444185419
GauSei,Specialized,2048,1e-05,110604597
GauSei,SparseRAJA,2048,1e-05,173685146
GauSei,Specialized,2048,1e-05,110613018
GauSei,SparseRAJA,2048,1e-05,173607081
GauSei,Specialized,2048,1e-05,110561149
GauSei,SparseRAJA,2048,1e-05,173688585
GauSei,Specialized,2048,1e-05,110597227
GauSei,SparseRAJA,2048,1e-05,173760122
GauSei,Specialized,2048,1e-05,110603672
GauSei,SparseRAJA,2048,1e-05,173653706
GauSei,Specialized,128,0.3,595169127
GauSei,SparseRAJA,128,0.3,11688034829
GauSei,Specialized,128,0.3,595179554
GauSei,SparseRAJA,128,0.3,11685718842
GauSei,Specialized,128,0.3,595252472
GauSei,SparseRAJA,128,0.3,11686531578
GauSei,Specialized,128,0.3,595115458
GauSei,SparseRAJA,128,0.3,11685709941
GauSei,Specialized,128,0.1,241431006
GauSei,SparseRAJA,128,0.1,1767718446
GauSei,Specialized,128,0.1,241368440
GauSei,SparseRAJA,128,0.1,1768007966
GauSei,Specialized,128,0.1,241412818
GauSei,SparseRAJA,128,0.1,1767973101
GauSei,Specialized,128,0.1,241442405
GauSei,SparseRAJA,128,0.1,1767999870
GauSei,Specialized,128,0.1,241343439
GauSei,SparseRAJA,128,0.1,1767940016
GauSei,Specialized,128,0.05,149823912
GauSei,SparseRAJA,128,0.05,613125318
GauSei,Specialized,128,0.05,149794394
GauSei,SparseRAJA,128,0.05,613656394
GauSei,Specialized,128,0.05,150383531
GauSei,SparseRAJA,128,0.05,612933373
GauSei,Specialized,128,0.05,149827586
GauSei,SparseRAJA,128,0.05,613076999
GauSei,Specialized,128,0.05,149815979
GauSei,SparseRAJA,128,0.05,613263818
GauSei,Specialized,128,0.025,97340088
GauSei,SparseRAJA,128,0.025,224037180
GauSei,Specialized,128,0.025,97241988
GauSei,SparseRAJA,128,0.025,224329429
GauSei,Specialized,128,0.025,97165380
GauSei,SparseRAJA,128,0.025,224402834
GauSei,Specialized,128,0.025,97255983
GauSei,SparseRAJA,128,0.025,224288373
GauSei,Specialized,128,0.025,97308996
GauSei,SparseRAJA,128,0.025,224574963
GauSei,Specialized,128,0.01,59351422
GauSei,SparseRAJA,128,0.01,99671635
GauSei,Specialized,128,0.01,59164466
GauSei,SparseRAJA,128,0.01,99796156
GauSei,Specialized,128,0.01,59182074
GauSei,SparseRAJA,128,0.01,99745731
GauSei,Specialized,128,0.01,59188037
GauSei,SparseRAJA,128,0.01,99799580
GauSei,Specialized,128,0.01,59156187
GauSei,SparseRAJA,128,0.01,99839780
