Benchmark, Variant, Size, Density, Time, Hit Rate
GauSei,SparseRAJA,256,0.2,136801373,1
GauSei,Specialized,256,0.3,7635833869,1.0
GauSei,SparseRAJA,256,0.3,203883716,1
GauSei,Specialized,256,0.4,10123970026,1.0
GauSei,SparseRAJA,256,0.4,265890929,1
SpMV,Specialized,256,0.3,52104872,1.0
SpMV,SparseRAJA,256,0.3,197775829,1
GauSei,Specialized,256,0.5,11585013396,1.0
GauSei,SparseRAJA,256,0.5,327542018,1
GauSei,Specialized,256,0.6,14056002320,1.0
GauSei,SparseRAJA,256,0.6,390702173,1
GauSei,Specialized,256,0.7,17665170724,1.0
GauSei,SparseRAJA,256,0.7,454551835,1
SpMV,Specialized,256,0.1,16374178,1.0
SpMV,SparseRAJA,256,0.1,70566387,1
GauSei,Specialized,256,1,25023910755,1.0
GauSei,SparseRAJA,256,1,661059708,1
SpMV,Specialized,256,0.05,7255324,1.0
SpMV,SparseRAJA,256,0.05,36391243,1
SpMV,Specialized,256,0.4,71817561,1.0
SpMV,SparseRAJA,256,0.4,268648491,1
SpMV,Specialized,256,0.2,34085924,1.0
SpMV,SparseRAJA,256,0.2,132883182,1
SpMV,Specialized,256,0.6,105651522,1.0
SpMV,SparseRAJA,256,0.6,389632065,1
GauSei,Specialized,256,0.025,457934079,1.0
GauSei,SparseRAJA,256,0.025,23931650,1
SpMV,Specialized,256,0.7,124530909,1.0
SpMV,SparseRAJA,256,0.7,457122075,1
SpMV,Specialized,256,0.9,159757162,1.0
SpMV,SparseRAJA,256,0.9,581395262,1
SpMV,Specialized,256,0.8,145029079,1.0
SpMV,SparseRAJA,256,0.8,529564639,1
SpMV,Specialized,256,1,178104056,1.0
SpMV,SparseRAJA,256,1,667419515,1
GauSei,Specialized,256,0.2,4204366346,1.0
GauSei,SparseRAJA,256,0.2,136270655,1
GauSei,Specialized,256,0.3,6777202180,1.0
GauSei,SparseRAJA,256,0.3,203769803,1
SpMV,Specialized,256,0.3,51624325,1.0
SpMV,SparseRAJA,256,0.3,197836329,1
GauSei,Specialized,256,0.4,9852432898,1.0
GauSei,SparseRAJA,256,0.4,265099727,1
GauSei,Specialized,256,0.5,11514408800,1.0
GauSei,SparseRAJA,256,0.5,327209298,1
GauSei,Specialized,256,0.6,14107870769,1.0
GauSei,SparseRAJA,256,0.6,390011240,1
GauSei,Specialized,256,0.7,16878798234,1.0
GauSei,SparseRAJA,256,0.7,457824031,1
SpMV,Specialized,256,0.4,69961103,1.0
SpMV,SparseRAJA,256,0.4,262348036,1
GauSei,Specialized,256,1,23597529270,1.0
GauSei,SparseRAJA,256,1,664236502,1
SpMV,Specialized,256,0.6,105275716,1.0
SpMV,SparseRAJA,256,0.6,390716821,1
GauSei,Specialized,256,0.025,456882504,1.0
GauSei,SparseRAJA,256,0.025,23990095,1
SpMV,Specialized,256,0.7,123638457,1.0
SpMV,SparseRAJA,256,0.7,454055464,1
SpMV,Specialized,256,0.9,162175770,1.0
SpMV,SparseRAJA,256,0.9,587395752,1
SpMV,Specialized,256,0.8,144689019,1.0
SpMV,SparseRAJA,256,0.8,524837217,1
SpMV,Specialized,256,1,179450615,1.0
SpMV,SparseRAJA,256,1,668292828,1
GauSei,Specialized,256,0.2,4397087027,1.0
GauSei,SparseRAJA,256,0.2,139876321,1
GauSei,Specialized,256,0.3,6948500877,1.0
GauSei,SparseRAJA,256,0.3,203839947,1
GauSei,Specialized,256,0.4,9836964609,1.0
GauSei,SparseRAJA,256,0.4,265469506,1
GauSei,Specialized,256,0.5,12388088513,1.0
GauSei,SparseRAJA,256,0.5,327735627,1
GauSei,Specialized,256,0.6,14007600864,1.0
GauSei,SparseRAJA,256,0.6,390571059,1
GauSei,Specialized,256,0.7,16579615503,1.0
GauSei,SparseRAJA,256,0.7,461840425,1
