Benchmark, Variant, Size, Density, Time, Hit Rate
GauSei,Specialized,256,0.3,4496592699,1.0
GauSei,SparseRAJA,256,0.3,12935926274,0.962012
GauSei,Specialized,256,0.4,5937291099,1.0
GauSei,SparseRAJA,256,0.4,17338613415,0.971449
GauSei,Specialized,256,0.5,7414518411,1.0
GauSei,SparseRAJA,256,0.5,21657593195,0.976793
GauSei,Specialized,256,0.6,8845001770,1.0
GauSei,SparseRAJA,256,0.6,25967448785,0.980607
GauSei,Specialized,256,0.7,10193058784,1.0
GauSei,SparseRAJA,256,0.7,30209687042,0.98337
GauSei,Specialized,256,0.3,4496712671,1.0
GauSei,SparseRAJA,256,0.3,12937140507,0.962012
GauSei,Specialized,256,0.8,11605172406,1.0
GauSei,SparseRAJA,256,0.8,34297610627,0.985417
GauSei,Specialized,256,0.4,5937393197,1.0
GauSei,SparseRAJA,256,0.4,17340630752,0.971449
GauSei,Specialized,256,0.9,13027467807,1.0
GauSei,SparseRAJA,256,0.9,38297973962,0.987074
GauSei,Specialized,256,0.5,7417893214,1.0
GauSei,SparseRAJA,256,0.5,21658998155,0.976793
GauSei,Specialized,256,0.3,4497361797,1.0
GauSei,SparseRAJA,256,0.3,12937335746,0.962012
GauSei,Specialized,256,1,14397056270,1.0
GauSei,SparseRAJA,256,1,42708154795,0.988327
GauSei,Specialized,256,0.6,8842939943,1.0
GauSei,SparseRAJA,256,0.6,25970412236,0.980607
GauSei,Specialized,256,0.4,5937702316,1.0
GauSei,SparseRAJA,256,0.4,17341966072,0.971449
GauSei,Specialized,256,0.3,4496865393,1.0
GauSei,SparseRAJA,256,0.3,12937452010,0.962012
GauSei,Specialized,256,0.7,10192493877,1.0
GauSei,SparseRAJA,256,0.7,30210759822,0.98337
GauSei,Specialized,256,0.5,7412542840,1.0
GauSei,SparseRAJA,256,0.5,21657360037,0.976793
GauSei,Specialized,256,0.8,11602995248,1.0
GauSei,SparseRAJA,256,0.8,34310172631,0.985417
GauSei,Specialized,256,0.3,4496609088,1.0
GauSei,SparseRAJA,256,0.3,12938046432,0.962012
GauSei,Specialized,256,0.4,5943693036,1.0
GauSei,SparseRAJA,256,0.4,17338786430,0.971449
GauSei,Specialized,256,0.9,13031775374,1.0
GauSei,SparseRAJA,256,0.9,38304415697,0.987074
GauSei,Specialized,256,0.6,8844929461,1.0
GauSei,SparseRAJA,256,0.6,25972682532,0.980607
GauSei,Specialized,256,0.5,7411947126,1.0
GauSei,SparseRAJA,256,0.5,21657882608,0.976793
GauSei,Specialized,256,0.4,5938146296,1.0
GauSei,SparseRAJA,256,0.4,17338026642,0.971449
GauSei,Specialized,256,1,14390140035,1.0
GauSei,SparseRAJA,256,1,42721263093,0.988327
GauSei,Specialized,256,0.7,10190064390,1.0
GauSei,SparseRAJA,256,0.7,30211653723,0.98337
GauSei,Specialized,256,0.8,11596350763,1.0
GauSei,SparseRAJA,256,0.8,34301388193,0.985417
GauSei,Specialized,256,0.6,8845750583,1.0
GauSei,SparseRAJA,256,0.6,25973693748,0.980607
GauSei,Specialized,256,0.5,7420185959,1.0
GauSei,SparseRAJA,256,0.5,21658818790,0.976793
GauSei,Specialized,256,0.9,13031686985,1.0
GauSei,SparseRAJA,256,0.9,38302535121,0.987074
GauSei,Specialized,256,0.2,2896172658,1.0
GauSei,SparseRAJA,256,0.2,8508560759,0.943074
GauSei,Specialized,256,0.7,10189595805,1.0
GauSei,SparseRAJA,256,0.7,30204994636,0.98337
GauSei,Specialized,256,0.2,2896287926,1.0
GauSei,SparseRAJA,256,0.2,8509160933,0.943074
GauSei,Specialized,256,0.6,8843627234,1.0
GauSei,SparseRAJA,256,0.6,25973967990,0.980607
GauSei,Specialized,256,1,14390642352,1.0
GauSei,SparseRAJA,256,1,42709006082,0.988327
GauSei,Specialized,256,0.2,2896554699,1.0
GauSei,SparseRAJA,256,0.2,8516118446,0.943074
GauSei,Specialized,256,0.1,1519353664,1.0
GauSei,SparseRAJA,256,0.1,4273912961,0.89244
GauSei,Specialized,256,0.8,11593776876,1.0
GauSei,SparseRAJA,256,0.8,34301007280,0.985417
GauSei,Specialized,256,0.1,1519392617,1.0
GauSei,SparseRAJA,256,0.1,4274981893,0.89244
GauSei,Specialized,256,0.2,2896544162,1.0
GauSei,SparseRAJA,256,0.2,8509602302,0.943074
GauSei,Specialized,256,0.1,1519164666,1.0
GauSei,SparseRAJA,256,0.1,4274267143,0.89244
GauSei,Specialized,256,0.1,1519435882,1.0
GauSei,SparseRAJA,256,0.1,4274738712,0.89244
GauSei,Specialized,256,0.2,2896566929,1.0
GauSei,SparseRAJA,256,0.2,8509222299,0.943074
GauSei,Specialized,256,0.1,1519245608,1.0
GauSei,SparseRAJA,256,0.1,4273675213,0.89244
GauSei,Specialized,256,0.7,10192877735,1.0
GauSei,SparseRAJA,256,0.7,30210756169,0.98337
GauSei,Specialized,256,0.9,13030439188,1.0
GauSei,SparseRAJA,256,0.9,38299189742,0.987074
GauSei,Specialized,256,0.8,11598665920,1.0
GauSei,SparseRAJA,256,0.8,34298307580,0.985417
GauSei,Specialized,256,0.025,479716267,1.0
GauSei,SparseRAJA,256,0.025,1070377385,0.682418
GauSei,Specialized,256,0.025,479724510,1.0
GauSei,SparseRAJA,256,0.025,1071171976,0.682418
GauSei,Specialized,256,1,14394104705,1.0
GauSei,SparseRAJA,256,1,42712946838,0.988327
GauSei,Specialized,256,0.05,823008008,1.0
GauSei,SparseRAJA,256,0.05,2189069314,0.800233
GauSei,Specialized,256,0.075,1166378554,1.0
GauSei,SparseRAJA,256,0.075,3281782213,0.858522
GauSei,Specialized,256,0.025,479697640,1.0
GauSei,SparseRAJA,256,0.025,1070744128,0.682418
GauSei,Specialized,256,0.025,479732139,1.0
GauSei,SparseRAJA,256,0.025,1070768345,0.682418
GauSei,Specialized,256,0.05,823197421,1.0
GauSei,SparseRAJA,256,0.05,2188199677,0.800233
GauSei,Specialized,256,0.025,479825810,1.0
GauSei,SparseRAJA,256,0.025,1070479223,0.682418
GauSei,Specialized,256,0.075,1167132188,1.0
GauSei,SparseRAJA,256,0.075,3281678496,0.858522
GauSei,Specialized,256,0.05,823396394,1.0
GauSei,SparseRAJA,256,0.05,2188709577,0.800233
GauSei,Specialized,256,0.01,264811888,1.0
GauSei,SparseRAJA,256,0.01,450422520,0.543454
GauSei,Specialized,256,0.01,264669201,1.0
GauSei,SparseRAJA,256,0.01,450650046,0.543454
GauSei,Specialized,256,0.05,823380648,1.0
GauSei,SparseRAJA,256,0.05,2188614698,0.800233
GauSei,Specialized,256,0.01,264722749,1.0
GauSei,SparseRAJA,256,0.01,450366261,0.543454
GauSei,Specialized,256,0.075,1166676597,1.0
GauSei,SparseRAJA,256,0.075,3281344365,0.858522
GauSei,Specialized,256,0.01,264608445,1.0
GauSei,SparseRAJA,256,0.01,450827942,0.543454
GauSei,Specialized,256,0.01,264572339,1.0
GauSei,SparseRAJA,256,0.01,450360086,0.543454
GauSei,Specialized,256,0.05,823671430,1.0
GauSei,SparseRAJA,256,0.05,2189484696,0.800233
GauSei,Specialized,256,0.075,1166586285,1.0
GauSei,SparseRAJA,256,0.075,3281609977,0.858522
GauSei,Specialized,256,0.075,1167495195,1.0
GauSei,SparseRAJA,256,0.075,3282512470,0.858522
GauSei,Specialized,256,0.9,13026731420,1.0
GauSei,SparseRAJA,256,0.9,38294452947,0.987074
GauSei,Specialized,256,1,14396538392,1.0
GauSei,SparseRAJA,256,1,42721149614,0.988327
