Benchmark, Variant, Size, Density, Time
SpMV,Dense,64,0.5,23345965
SpMV,Specialized,64,0.5,9987561
SpMV,SparseRAJA,64,0.5,32103019
SpMV,Dense,64,0.5,23352583
SpMV,Specialized,64,0.5,9970788
SpMV,SparseRAJA,64,0.5,32120098
SpMV,Dense,64,0.5,23343630
SpMV,Specialized,64,0.5,9981502
SpMV,SparseRAJA,64,0.5,32102519
SpMV,Dense,64,0.5,23365588
SpMV,Specialized,64,0.5,9982856
SpMV,SparseRAJA,64,0.5,32098365
SpMV,Dense,64,0.5,23347739
SpMV,Specialized,64,0.5,9978499
SpMV,SparseRAJA,64,0.5,32123567
SpMV,Dense,64,0.3,23348328
SpMV,Specialized,64,0.3,5120335
SpMV,SparseRAJA,64,0.3,19163028
SpMV,Dense,64,0.3,23344370
SpMV,Specialized,64,0.3,5127818
SpMV,SparseRAJA,64,0.3,19176262
SpMV,Dense,64,0.3,23349876
SpMV,Specialized,64,0.3,5122544
SpMV,SparseRAJA,64,0.3,19175348
SpMV,Dense,64,0.3,23342298
SpMV,Specialized,64,0.3,5145143
SpMV,SparseRAJA,64,0.3,19196824
SpMV,Dense,64,0.3,23343964
SpMV,Specialized,64,0.3,5126561
SpMV,SparseRAJA,64,0.3,19173924
SpMV,Dense,64,0.1,23312625
SpMV,Specialized,64,0.1,1192849
SpMV,SparseRAJA,64,0.1,5703440
SpMV,Dense,64,0.1,23310253
SpMV,Specialized,64,0.1,1194298
SpMV,SparseRAJA,64,0.1,5627062
SpMV,Dense,64,0.1,23331366
SpMV,Specialized,64,0.1,1192775
SpMV,SparseRAJA,64,0.1,5640120
SpMV,Dense,64,0.1,23316773
SpMV,Specialized,64,0.1,1192640
SpMV,SparseRAJA,64,0.1,5661695
SpMV,Dense,64,0.1,23323689
SpMV,Specialized,64,0.1,1191603
SpMV,SparseRAJA,64,0.1,5635020
SpMV,Dense,64,0.05,23402325
SpMV,Specialized,64,0.05,529747
SpMV,SparseRAJA,64,0.05,2943862
SpMV,Dense,64,0.05,23364110
SpMV,Specialized,64,0.05,532450
SpMV,SparseRAJA,64,0.05,2942125
SpMV,Dense,64,0.05,23345624
SpMV,Specialized,64,0.05,528750
SpMV,SparseRAJA,64,0.05,2946381
SpMV,Dense,64,0.05,23345533
SpMV,Specialized,64,0.05,529211
SpMV,SparseRAJA,64,0.05,2949490
SpMV,Dense,64,0.05,23343975
SpMV,Specialized,64,0.05,530175
SpMV,SparseRAJA,64,0.05,2941676
